選手,年度,球団,試合,勝利,敗戦,セーブ,ＨＰ,奪三振,勝率,投球回,防御率
アンドリース,2022,巨人,5,0,2,0,0,1,0,18,10
赤星 優志,2022,巨人,31,5,5,0,5,4,0.5,78,35
井納 翔一,2022,巨人,7,1,0,0,2,0,1,5,1
井上 温大,2022,巨人,7,1,1,0,0,0,0.5,24,16
今村 信貴,2022,巨人,55,2,4,0,23,4,0.333,53,21
大江 竜聖,2022,巨人,3,0,0,0,0,1,0,5,1
鍵谷 陽平,2022,巨人,21,2,0,0,5,0,1,17,7
菊地 大稀,2022,巨人,16,0,2,0,0,1,0,17,11
クロール,2022,巨人,21,1,1,1,6,1,0.5,21,9
鍬原 拓也,2022,巨人,49,3,2,0,16,1,0.6,45,26
桜井 俊貴,2022,巨人,8,2,0,0,2,2,1,8,13
シューメーカー,2022,巨人,18,4,8,0,0,5,0.333,95,45
菅野 智之,2022,巨人,23,10,7,0,0,6,0.588,147,51
大勢,2022,巨人,57,1,3,37,9,3,0.25,57,13
高木 京介,2022,巨人,17,0,1,0,2,0,0,19,6
高梨 雄平,2022,巨人,59,2,0,0,27,4,1,46,11
髙橋 優貴,2022,巨人,10,1,5,0,1,0,0.167,26,16
デラロサ,2022,巨人,30,0,0,1,11,2,0,27,7
戸郷 翔征,2022,巨人,25,12,8,0,0,8,0.6,171,50
戸田 懐生,2022,巨人,14,1,0,0,1,1,1,22,16
戸根 千明,2022,巨人,9,0,0,0,0,1,0,14,8
直江 大輔,2022,巨人,9,1,1,0,0,3,0.5,18,7
畠 世周,2022,巨人,27,3,0,1,8,0,1,28,10
ビエイラ,2022,巨人,9,0,2,0,0,1,0,7,8
平内 龍太,2022,巨人,53,4,4,0,17,3,0.5,50,24
堀田 賢慎,2022,巨人,8,2,3,0,0,1,0.4,34,24
メルセデス,2022,巨人,20,5,7,0,0,3,0.417,110,39
山口 俊,2022,巨人,1,0,0,0,0,0,0,2,0
山﨑 伊織,2022,巨人,20,5,5,0,1,9,0.5,97,34
山本 一輝,2022,巨人,2,0,0,0,0,0,0,2,0
横川 凱,2022,巨人,1,0,1,0,0,0,0,3,5
アルカンタラ,2022,阪神,39,1,3,1,18,1,0.25,38,20
青柳 晃洋,2022,阪神,24,13,4,0,0,8,0.765,162,37
秋山 拓巳,2022,阪神,5,1,3,0,0,0,0.25,23,14
石井 大智,2022,阪神,18,0,1,0,0,2,0,24,2
伊藤 将司,2022,阪神,20,9,5,0,0,2,0.643,136,40
岩崎 優,2022,阪神,57,1,6,28,12,2,0.143,55,12
岩貞 祐太,2022,阪神,53,2,1,0,13,2,0.667,42,12
ウィルカーソン,2022,阪神,14,5,5,0,0,1,0.5,70,32
小川 一平,2022,阪神,6,0,2,0,0,3,0,24,12
尾仲 祐哉,2022,阪神,1,0,0,0,0,0,0,2,2
小野 泰己,2022,阪神,5,0,0,0,0,0,0,5,1
及川 雅貴,2022,阪神,1,0,0,0,0,0,0,1,1
ガンケル,2022,阪神,16,5,5,0,0,3,0.5,92,28
加治屋 蓮,2022,阪神,39,0,2,0,7,1,0,29,8
桐敷 拓馬,2022,阪神,7,0,3,0,0,0,0,14,8
ケラー,2022,阪神,34,3,2,3,8,2,0.6,32,12
小林 慶祐,2022,阪神,10,0,0,0,0,0,0,11,2
才木 浩人,2022,阪神,9,4,1,0,0,0,0.8,47,8
齋藤 友貴哉,2022,阪神,20,0,1,0,0,3,0,23,13
島本 浩也,2022,阪神,15,0,0,0,2,0,0,14,4
西 純矢,2022,阪神,14,6,3,0,0,1,0.667,77,23
西 勇輝,2022,阪神,23,9,9,0,0,5,0.5,148,36
馬場 皐輔,2022,阪神,7,0,1,0,0,0,0,7,4
浜地 真澄,2022,阪神,52,1,3,0,22,0,0.25,47,6
藤浪 晋太郎,2022,阪神,16,3,5,0,1,3,0.375,66,25
森木 大智,2022,阪神,2,0,2,0,0,0,0,8,6
湯浅 京己,2022,阪神,59,2,3,0,45,0,0.4,58,7
渡邉 雄大,2022,阪神,32,3,1,0,13,1,0.75,18,5
東 克樹,2022,DeNA,12,1,6,0,0,2,0.143,50,26
有吉 優樹,2022,DeNA,1,0,1,0,0,1,0,4,3
池谷 蒼大,2022,DeNA,6,1,0,0,1,0,1,5,2
石川 達也,2022,DeNA,3,0,0,0,0,1,0,5,5
石田 健大,2022,DeNA,15,7,4,0,0,1,0.636,82,27
伊勢 大夢,2022,DeNA,71,3,3,1,42,5,0.5,68,13
今永 昇太,2022,DeNA,21,11,4,0,0,3,0.733,143,36
入江 大生,2022,DeNA,57,5,1,0,15,1,0.833,63,21
エスコバー,2022,DeNA,70,4,2,2,38,5,0.667,63,17
大貫 晋一,2022,DeNA,24,11,8,0,0,8,0.579,136,42
ガゼルマン,2022,DeNA,4,1,1,0,0,2,0.5,20,6
上茶谷 大河,2022,DeNA,13,3,6,0,0,2,0.333,66,35
京山 将弥,2022,DeNA,17,2,2,0,2,5,0.5,55,20
クリスキー,2022,DeNA,18,1,1,1,5,0,0.5,21,6
阪口 皓亮,2022,DeNA,1,0,0,0,0,0,0,3,3
坂本 裕哉,2022,DeNA,15,0,5,0,0,3,0,48,33
砂田 毅樹,2022,DeNA,15,0,0,0,0,1,0,12,8
田中 健二朗,2022,DeNA,47,3,0,0,16,2,1,37,11
中川 虎大,2022,DeNA,8,0,0,0,0,1,0,10,5
濵口 遥大,2022,DeNA,19,8,7,0,0,2,0.533,112,42
ピープルズ,2022,DeNA,3,0,2,0,0,0,0,3,5
平田 真吾,2022,DeNA,47,4,3,0,14,2,0.571,42,20
三浦 銀二,2022,DeNA,6,0,0,0,0,0,0,8,10
三上 朋也,2022,DeNA,19,0,0,0,0,1,0,24,10
三嶋 一輝,2022,DeNA,13,2,2,1,7,0,0.5,12,4
宮國 椋丞,2022,DeNA,17,0,0,0,2,1,0,20,20
森原 康平,2022,DeNA,6,0,0,0,0,0,0,6,4
山﨑 康晃,2022,DeNA,56,0,2,37,3,0,0,54,8
ロメロ,2022,DeNA,23,6,8,0,1,9,0.429,92,50
アンダーソン,2022,広島,13,3,4,0,0,3,0.429,70,28
一岡 竜司,2022,広島,10,1,0,0,2,0,1,8,2
遠藤 淳志,2022,広島,20,4,7,0,0,3,0.364,105,42
大瀬良 大地,2022,広島,23,8,9,0,0,2,0.471,135,71
大道 温貴,2022,広島,3,0,1,0,0,1,0,12,9
菊池 保則,2022,広島,8,0,0,0,2,1,0,8,5
九里 亜蓮,2022,広島,26,6,9,0,1,8,0.4,140,52
栗林 良吏,2022,広島,48,0,2,31,6,2,0,48,8
黒原 拓未,2022,広島,12,0,0,0,1,1,0,9,7
ケムナ 誠,2022,広島,43,4,0,0,18,3,1,39,14
コルニエル,2022,広島,12,0,0,0,0,1,0,15,6
小林 樹斗,2022,広島,1,0,0,0,0,0,0,1,1
島内 颯太郎,2022,広島,22,0,3,0,7,1,0,19,8
ターリー,2022,広島,45,2,4,0,16,2,0.333,37,13
玉村 昇悟,2022,広島,9,2,2,0,0,1,0.5,43,19
床田 寛樹,2022,広島,17,8,6,0,0,4,0.571,114,36
中﨑 翔太,2022,広島,28,2,5,0,9,1,0.286,23,17
野村 祐輔,2022,広島,9,2,3,0,0,0,0.4,41,24
フランスア,2022,広島,3,0,0,0,0,1,0,3,3
藤井 黎來,2022,広島,12,0,1,0,0,1,0,14,6
塹江 敦哉,2022,広島,26,3,2,0,9,1,0.6,17,6
松本 竜也,2022,広島,50,4,2,0,8,3,0.667,55,22
森 翔平,2022,広島,8,1,0,0,1,1,1,19,4
森浦 大輔,2022,広島,51,3,6,0,27,3,0.333,46,17
森下 暢仁,2022,広島,27,10,8,0,0,8,0.556,178,63
矢崎 拓也,2022,広島,47,2,0,1,19,0,1,49,10
薮田 和樹,2022,広島,18,1,0,0,2,1,1,24,11
石川 雅規,2022,ヤクルト,16,6,4,0,0,3,0.6,84,42
石山 泰稚,2022,ヤクルト,38,2,0,0,18,2,1,36,7
市川 悠太,2022,ヤクルト,6,0,0,0,0,1,0,12,10
梅野 雄吾,2022,ヤクルト,41,4,3,0,20,1,0.571,39,13
大下 佑馬,2022,ヤクルト,10,0,0,0,1,0,0,15,7
大西 広樹,2022,ヤクルト,43,3,2,0,6,2,0.6,58,29
小川 泰弘,2022,ヤクルト,25,8,8,0,0,3,0.5,153,48
奥川 恭伸,2022,ヤクルト,1,0,0,0,0,0,0,4,1
金久保 優斗,2022,ヤクルト,3,1,1,0,0,0,0.5,9,8
木澤 尚文,2022,ヤクルト,55,9,3,0,17,3,0.75,70,23
久保 拓眞,2022,ヤクルト,29,1,0,0,8,2,1,26,8
コール,2022,ヤクルト,34,2,0,0,8,1,1,36,11
小澤 怜史,2022,ヤクルト,10,2,1,0,0,6,0.667,46,21
今野 龍太,2022,ヤクルト,51,1,2,1,17,2,0.333,46,19
サイスニード,2022,ヤクルト,23,9,6,0,0,5,0.6,132,52
坂本 光士郎,2022,ヤクルト,7,0,1,0,0,1,0,10,11
柴田 大地,2022,ヤクルト,1,0,0,0,0,0,0,1,1
清水 昇,2022,ヤクルト,50,5,4,0,33,1,0.556,46,6
スアレス,2022,ヤクルト,6,0,0,0,0,0,0,21,15
杉山 晃基,2022,ヤクルト,1,0,0,0,0,0,0,0,0
高梨 裕稔,2022,ヤクルト,20,7,9,0,0,6,0.438,102,49
高橋 奎二,2022,ヤクルト,17,8,2,0,0,9,0.8,102,30
田口 麗斗,2022,ヤクルト,45,1,1,2,19,3,0.5,36,5
竹山 日向,2022,ヤクルト,1,0,0,0,0,0,0,1,0
原 樹理,2022,ヤクルト,22,8,7,0,1,5,0.533,107,58
星 知弥,2022,ヤクルト,7,0,1,0,0,1,0,12,6
マクガフ,2022,ヤクルト,55,2,2,38,6,1,0.5,53,14
宮台 康平,2022,ヤクルト,2,0,0,0,0,0,0,2,5
山下 輝,2022,ヤクルト,2,1,1,0,0,1,0.5,12,2
山本 大貴,2022,ヤクルト,5,0,0,0,0,0,0,5,5
吉田 大喜,2022,ヤクルト,2,0,1,0,0,0,0,9,3
岩嵜 翔,2022,中日,1,0,0,0,0,0,0,+,1
上田 洸太朗,2022,中日,8,1,5,0,0,3,0.167,41,13
大野 雄大,2022,中日,23,8,8,0,0,6,0.5,157,43
小笠原 慎之介,2022,中日,22,10,8,0,0,1,0.556,146,45
岡田 俊哉,2022,中日,2,0,2,0,0,0,0,6,6
岡野 祐一郎,2022,中日,4,1,3,0,0,1,0.25,12,17
笠原 祥太郎,2022,中日,4,1,2,0,0,1,0.333,17,10
勝野 昌慶,2022,中日,8,0,4,0,0,1,0,43,22
佐藤 優,2022,中日,4,0,0,0,0,0,0,4,5
清水 達也,2022,中日,54,3,3,1,35,1,0.5,50,17
鈴木 博志,2022,中日,3,0,1,0,1,1,0,13,6
祖父江 大輔,2022,中日,46,4,3,1,21,1,0.571,42,18
タバーレス,2022,中日,3,0,0,0,0,1,0,3,2
髙橋 宏斗,2022,中日,19,6,7,0,0,4,0.462,116,32
田島 慎二,2022,中日,21,0,0,0,1,1,0,21,11
谷元 圭介,2022,中日,34,0,0,1,6,0,0,31,9
根尾 昂,2022,中日,25,0,0,0,1,3,0,29,11
橋本 侑樹,2022,中日,4,0,0,0,0,3,0,8,9
福 敬登,2022,中日,36,2,2,0,5,2,0.5,27,14
福谷 浩司,2022,中日,5,1,3,0,0,0,0.25,23,23
藤嶋 健人,2022,中日,50,2,1,0,12,1,0.667,50,12
マルク,2022,中日,2,0,0,0,0,0,0,3,4
Ｒ．マルティネス,2022,中日,56,4,3,39,9,4,0.571,55,6
松葉 貴大,2022,中日,19,6,7,0,0,2,0.462,100,37
森 博人,2022,中日,30,1,0,0,1,3,1,30,9
柳 裕也,2022,中日,25,9,11,0,1,5,0.45,153,62
山本 拓実,2022,中日,30,1,0,0,5,1,1,30,12
ロドリゲス,2022,中日,56,6,2,0,45,4,0.75,54,7
秋吉 亮,2022,ソフトバンク,2,0,0,0,0,0,0,2,3
石川 柊太,2022,ソフトバンク,23,7,10,0,0,8,0.412,136,51
泉 圭輔,2022,ソフトバンク,30,0,2,0,6,1,0,29,12
大関 友久,2022,ソフトバンク,21,7,6,0,2,4,0.538,101,33
大竹 耕太郎,2022,ソフトバンク,2,0,2,0,0,1,0,7,5
尾形 崇斗,2022,ソフトバンク,9,1,0,0,1,0,1,11,7
奥村 政稔,2022,ソフトバンク,4,0,0,0,0,0,0,10,1
甲斐野 央,2022,ソフトバンク,27,2,0,0,5,0,1,25,7
笠谷 俊介,2022,ソフトバンク,16,0,0,0,0,5,0,17,12
嘉弥真 新也,2022,ソフトバンク,56,0,0,0,28,1,0,27,3
椎野 新,2022,ソフトバンク,18,0,0,0,1,1,0,24,11
杉山 一樹,2022,ソフトバンク,10,1,3,0,0,1,0.25,42,32
千賀 滉大,2022,ソフトバンク,22,11,6,0,0,3,0.647,144,31
田浦 文丸,2022,ソフトバンク,4,0,0,0,1,2,0,4,5
高橋 礼,2022,ソフトバンク,4,0,0,0,0,0,0,3,5
武田 翔太,2022,ソフトバンク,10,2,1,0,0,3,0.667,28,8
田中 正義,2022,ソフトバンク,5,0,0,0,1,0,0,5,0
田上 奏大,2022,ソフトバンク,2,0,0,0,0,0,0,7,2
津森 宥紀,2022,ソフトバンク,51,4,6,1,22,2,0.4,46,15
中村 亮太,2022,ソフトバンク,2,0,0,0,0,1,0,2,10
板東 湧梧,2022,ソフトバンク,25,3,3,0,3,2,0.5,62,22
東浜 巨,2022,ソフトバンク,23,10,6,0,0,1,0.625,136,47
藤井 皓哉,2022,ソフトバンク,55,5,1,3,27,1,0.833,56,7
又吉 克樹,2022,ソフトバンク,31,3,3,1,17,0,0.5,30,7
松本 裕樹,2022,ソフトバンク,44,5,1,0,20,1,0.833,50,15
モイネロ,2022,ソフトバンク,53,1,1,24,9,2,0.5,52,6
森 唯斗,2022,ソフトバンク,29,2,4,6,5,1,0.333,34,10
レイ,2022,ソフトバンク,23,5,6,0,2,4,0.455,100,44
和田 毅,2022,ソフトバンク,17,7,4,0,0,1,0.636,81,25
井口 和朋,2022,日本ハム,23,2,0,1,8,2,1,24,14
池田 隆英,2022,日本ハム,4,1,3,0,0,0,0.25,16,6
石川 直也,2022,日本ハム,36,2,2,6,10,1,0.5,32,14
伊藤 大海,2022,日本ハム,26,10,9,1,1,5,0.526,155,51
上原 健太,2022,日本ハム,25,3,5,0,1,3,0.375,73,26
上沢 直之,2022,日本ハム,23,8,9,0,0,9,0.471,152,57
柿木 蓮,2022,日本ハム,4,0,0,0,0,0,0,4,1
加藤 貴之,2022,日本ハム,22,8,7,0,1,1,0.533,147,33
金子 千尋,2022,日本ハム,3,1,2,0,0,0,0.333,13,7
河野 竜生,2022,日本ハム,21,0,2,1,1,3,0,34,17
北浦 竜次,2022,日本ハム,11,0,0,1,0,0,0,7,2
北山 亘基,2022,日本ハム,55,3,5,9,19,4,0.375,51,20
畔柳 亨丞,2022,日本ハム,1,0,0,0,1,0,0,1,0
杉浦 稔大,2022,日本ハム,16,3,6,0,0,2,0.333,42,25
鈴木 健矢,2022,日本ハム,19,2,1,0,4,4,0.667,38,12
達 孝太,2022,日本ハム,1,0,0,0,0,0,0,3,0
立野 和明,2022,日本ハム,3,1,2,0,0,1,0.333,10,12
田中 瑛斗,2022,日本ハム,4,1,3,0,0,7,0.25,18,10
谷川 昌希,2022,日本ハム,9,0,0,0,0,0,0,9,4
玉井 大翔,2022,日本ハム,50,1,1,0,20,0,0.5,37,14
生田目 翼,2022,日本ハム,2,0,1,0,0,1,0,10,4
西村 天裕,2022,日本ハム,18,0,0,0,0,1,0,21,12
根本 悠楓,2022,日本ハム,13,3,3,0,1,4,0.5,60,17
長谷川 威展,2022,日本ハム,2,0,0,0,1,0,0,2,0
福田 俊,2022,日本ハム,13,0,0,0,3,0,0,10,1
古川 侑利,2022,日本ハム,34,0,1,0,3,2,0,35,16
ポンセ,2022,日本ハム,14,3,5,0,0,2,0.375,83,31
堀 瑞輝,2022,日本ハム,41,1,5,5,12,3,0.167,34,22
松浦 慶斗,2022,日本ハム,1,0,1,0,0,0,0,1,2
宮西 尚生,2022,日本ハム,24,0,3,1,7,1,0,20,13
メネズ,2022,日本ハム,15,1,0,0,6,1,1,25,3
望月 大希,2022,日本ハム,9,0,0,0,0,1,0,9,7
吉田 輝星,2022,日本ハム,51,2,3,0,7,1,0.4,63,30
ロドリゲス,2022,日本ハム,22,3,2,0,11,1,0.6,16,4
東 晃平,2022,オリックス,4,1,0,0,0,1,1,13,7
阿部 翔太,2022,オリックス,44,1,0,3,23,2,1,44,3
宇田川 優希,2022,オリックス,19,2,1,0,5,0,0.667,22,2
黒木 優太,2022,オリックス,27,2,2,1,7,0,0.5,26,7
Ｋ－鈴木,2022,オリックス,14,0,1,0,2,0,0,12,9
小木田 敦也,2022,オリックス,16,0,0,0,5,0,0,14,5
近藤 大亮,2022,オリックス,32,1,4,2,16,1,0.2,30,7
齋藤 綱記,2022,オリックス,5,0,0,0,0,0,0,5,4
竹安 大知,2022,オリックス,6,2,0,0,0,0,1,26,11
田嶋 大樹,2022,オリックス,20,9,3,0,0,2,0.75,125,37
張 奕,2022,オリックス,15,0,0,0,0,2,0,22,6
富山 凌雅,2022,オリックス,8,0,0,0,3,0,0,7,9
中村 勝,2022,オリックス,3,0,1,0,0,1,0,6,6
能見 篤史,2022,オリックス,5,0,0,0,1,0,0,3,1
バルガス,2022,オリックス,8,0,1,0,2,0,0,13,10
ビドル,2022,オリックス,35,4,5,0,16,7,0.444,40,18
比嘉 幹貴,2022,オリックス,30,5,0,1,10,2,1,21,6
平野 佳寿,2022,オリックス,48,3,2,28,11,2,0.6,46,8
本田 仁海,2022,オリックス,42,2,3,2,16,4,0.4,43,17
増井 浩俊,2022,オリックス,2,0,2,0,0,0,0,9,4
宮城 大弥,2022,オリックス,24,11,8,0,0,6,0.579,148,52
椋木 蓮,2022,オリックス,4,2,1,0,0,1,0.667,17,2
村西 良太,2022,オリックス,22,1,1,0,9,1,0.5,24,12
山岡 泰輔,2022,オリックス,22,6,8,0,1,7,0.429,128,37
山﨑 福也,2022,オリックス,24,5,8,0,3,6,0.385,114,44
山﨑 颯一郎,2022,オリックス,15,0,2,1,6,1,0,36,12
山田 修義,2022,オリックス,12,1,0,0,3,1,1,10,5
山本 由伸,2022,オリックス,26,15,5,0,0,5,0.75,193,36
吉田 凌,2022,オリックス,6,1,1,0,3,0,0.5,3,3
ワゲスパック,2022,オリックス,32,2,6,5,7,4,0.25,72,24
安樂 智大,2022,楽天,52,6,2,1,19,2,0.75,49,24
石橋 良太,2022,楽天,26,2,0,0,5,4,1,32,22
内間 拓馬,2022,楽天,1,0,0,0,0,0,0,1,0
釜田 佳直,2022,楽天,2,0,0,0,0,0,0,6,4
辛島 航,2022,楽天,17,6,4,0,0,3,0.6,90,34
岸 孝之,2022,楽天,22,8,10,0,0,1,0.444,141,50
小峯 新陸,2022,楽天,6,0,0,0,0,0,0,6,4
酒居 知史,2022,楽天,34,1,1,0,2,4,0.5,32,12
鈴木 翔天,2022,楽天,38,1,3,0,8,2,0.25,38,17
宋 家豪,2022,楽天,54,4,2,0,24,0,0.667,51,15
高田 孝一,2022,楽天,2,0,0,0,0,0,0,6,5
髙田 萌生,2022,楽天,3,0,0,0,0,0,0,5,4
瀧中 瞭太,2022,楽天,15,2,9,0,0,3,0.182,78,40
田中 将大,2022,楽天,25,9,12,0,0,4,0.429,163,60
津留﨑 大成,2022,楽天,11,0,0,0,2,0,0,12,6
西垣 雅矢,2022,楽天,24,0,0,0,0,0,0,23,7
西口 直人,2022,楽天,61,4,0,0,34,2,1,55,14
則本 昂大,2022,楽天,21,10,8,0,0,4,0.556,125,49
早川 隆久,2022,楽天,19,5,9,0,0,3,0.357,107,46
ブセニッツ,2022,楽天,34,3,1,0,14,0,0.75,31,8
福井 優也,2022,楽天,11,0,0,0,1,0,0,11,5
福山 博之,2022,楽天,3,0,0,0,0,0,0,3,0
藤井 聖,2022,楽天,4,1,2,0,0,0,0.333,18,7
藤平 尚真,2022,楽天,8,1,0,0,0,0,1,22,10
松井 友飛,2022,楽天,1,0,0,0,0,0,0,4,4
松井 裕樹,2022,楽天,53,1,3,32,8,0,0.25,51,11
宮森 智志,2022,楽天,26,1,1,1,8,2,0.5,23,4
森原 康平,2022,楽天,3,0,0,0,1,0,0,2,0
弓削 隼人,2022,楽天,13,0,1,1,0,2,0,13,5
吉川 雄大,2022,楽天,4,0,0,0,0,0,0,5,1
涌井 秀章,2022,楽天,10,4,3,0,0,1,0.571,56,22
渡邊 佑樹,2022,楽天,13,0,0,0,1,5,0,12,3
今井 達也,2022,西武,9,5,1,0,0,5,0.833,59,16
内海 哲也,2022,西武,5,0,1,0,0,0,0,12,4
エンス,2022,西武,23,10,7,0,0,3,0.588,122,40
大曲 錬,2022,西武,6,0,0,0,0,0,0,5,4
公文 克彦,2022,西武,18,0,0,0,7,1,0,9,0
佐々木 健,2022,西武,37,3,0,0,8,4,1,29,10
佐藤 隼輔,2022,西武,12,3,4,0,0,4,0.429,47,24
佐野 泰雄,2022,西武,2,0,0,0,0,1,0,2,0
スミス,2022,西武,20,1,0,1,4,1,1,38,14
隅田 知一郎,2022,西武,16,1,10,0,0,1,0.091,81,34
平良 海馬,2022,西武,61,1,3,9,35,2,0.25,57,10
髙橋 光成,2022,西武,26,12,8,0,0,11,0.6,175,43
田村 伊知郎,2022,西武,3,0,0,0,0,0,0,3,2
十亀 剣,2022,西武,13,0,0,0,0,1,0,15,4
平井 克典,2022,西武,30,6,8,0,4,6,0.429,81,26
ボー・タカハシ,2022,西武,27,0,0,0,2,7,0,31,9
本田 圭佑,2022,西武,45,4,2,0,24,3,0.667,50,11
増田 達至,2022,西武,52,2,5,31,7,0,0.286,51,14
松本 航,2022,西武,21,7,6,0,0,3,0.538,129,46
水上 由伸,2022,西武,60,4,4,1,35,5,0.5,56,11
宮川 哲,2022,西武,45,1,0,1,2,0,1,48,14
森脇 亮介,2022,西武,43,1,1,1,11,2,0.5,36,7
與座 海人,2022,西武,20,10,7,0,1,4,0.588,115,37
渡邉 勇太朗,2022,西武,3,1,1,0,0,1,0.5,13,9
東妻 勇輔,2022,ロッテ,3,0,0,0,0,0,0,4,3
石川 歩,2022,ロッテ,20,7,7,0,0,4,0.5,123,40
岩下 大輝,2022,ロッテ,14,1,0,0,4,0,1,16,1
オスナ,2022,ロッテ,29,4,1,10,13,1,0.8,29,3
小島 和哉,2022,ロッテ,24,3,11,0,0,4,0.214,143,50
小沼 健太,2022,ロッテ,21,1,1,0,2,0,0.5,25,17
小野 郁,2022,ロッテ,44,0,0,0,18,1,0,40,9
唐川 侑己,2022,ロッテ,17,2,1,0,10,1,0.667,15,9
河村 説人,2022,ロッテ,4,2,0,0,0,0,1,19,7
国吉 佑樹,2022,ロッテ,6,0,0,0,0,0,0,5,1
ゲレーロ,2022,ロッテ,49,3,3,3,27,5,0.5,46,18
坂本 光士郎,2022,ロッテ,7,0,0,0,1,0,0,8,4
佐々木 千隼,2022,ロッテ,23,2,3,0,3,0,0.4,25,18
佐々木 朗希,2022,ロッテ,20,9,4,0,0,7,0.692,129,29
佐藤 奨真,2022,ロッテ,11,2,6,0,0,1,0.25,52,27
鈴木 昭汰,2022,ロッテ,6,1,3,0,0,0,0.25,12,10
田中 靖洋,2022,ロッテ,15,0,1,0,2,0,0,14,13
種市 篤暉,2022,ロッテ,1,0,0,0,0,0,0,3,3
東條 大樹,2022,ロッテ,59,4,4,0,34,4,0.5,56,13
土肥 星也,2022,ロッテ,1,1,0,0,1,0,1,1,0
中村 稔弥,2022,ロッテ,10,0,0,0,1,1,0,12,11
西野 勇士,2022,ロッテ,37,3,3,0,18,0,0.5,36,7
廣畑 敦也,2022,ロッテ,30,0,1,0,2,2,0,36,20
二木 康太,2022,ロッテ,9,2,4,0,0,3,0.333,47,22
益田 直也,2022,ロッテ,52,1,2,25,9,3,0.333,52,19
美馬 学,2022,ロッテ,20,10,6,0,0,3,0.625,117,38
本前 郁也,2022,ロッテ,12,3,2,0,1,2,0.6,56,29
森 遼大朗,2022,ロッテ,3,0,1,0,0,0,0,8,9
八木 彬,2022,ロッテ,22,0,0,0,0,0,0,22,9
横山 陸人,2022,ロッテ,1,0,0,0,0,0,0,0,2
ロメロ,2022,ロッテ,20,8,9,0,0,2,0.471,115,43