選手名,球団,年度,ポジション,対左打席数または打数,対左安打数,対左打数,対右打席数または打数,対右安打数,対右打数
樋口 正修,中日,2024,内野手,,,,1,0,1
尾田 剛樹,中日,2024,外野手,6,0,6,6,0,5
福永 裕基,中日,2024,内野手,135,40,121,267,71,243
味谷 大誠,中日,2024,捕手,,,,1,0,1
木下 拓哉,中日,2024,捕手,50,9,44,153,32,136
スティーブンソン,日本ハム,2024,外野手,8,2,8,55,8,54
マルティネス,日本ハム,2024,捕手,148,24,124,311,68,269
レイエス,日本ハム,2024,外野手,148,39,137,217,58,198
加藤 豪将,日本ハム,2024,内野手,10,1,10,53,9,48
吉田 賢吾,日本ハム,2024,捕手,20,5,20,7,0,6
宮崎 一樹,日本ハム,2024,外野手,4,1,4,2,0,1
郡司 裕也,日本ハム,2024,捕手,172,37,150,322,76,291
古川 裕大,日本ハム,2024,捕手,,,,3,0,2
五十幡 亮汰,日本ハム,2024,外野手,27,4,26,100,14,86
江越 大賀,日本ハム,2024,外野手,3,0,3,7,0,7
今川 優馬,日本ハム,2024,外野手,12,3,12,7,1,7
細川 凌平,日本ハム,2024,内野手,7,0,5,57,12,49
松本 剛,日本ハム,2024,外野手,178,34,162,308,69,275
上川畑 大悟,日本ハム,2024,内野手,108,24,95,197,40,163
進藤 勇也,日本ハム,2024,捕手,,,,3,0,3
水谷 瞬,日本ハム,2024,外野手,156,47,146,196,47,181
水野 達稀,日本ハム,2024,内野手,130,23,119,228,50,213
清宮 幸太郎,日本ハム,2024,内野手,118,30,105,212,57,186
清水 優心,日本ハム,2024,捕手,5,1,5,10,1,9
石井 一成,日本ハム,2024,内野手,71,17,67,148,29,130
中島 卓也,日本ハム,2024,内野手,6,0,6,35,8,33
田宮 裕涼,日本ハム,2024,捕手,116,28,104,232,57,203
奈良間 大己,日本ハム,2024,内野手,64,12,61,86,13,78
梅林 優貴,日本ハム,2024,捕手,,,,5,0,4
伏見 寅威,日本ハム,2024,捕手,60,9,54,124,31,111
福田 光輝,日本ハム,2024,内野手,5,2,5,9,3,9
万波 中正,日本ハム,2024,外野手,193,48,184,362,80,325
野村 佑希,日本ハム,2024,内野手,58,11,56,93,19,87
淺間 大基,日本ハム,2024,外野手,32,5,28,95,25,82
オースティン,DeNA,2025,内野手,91,21,79,149,36,137
ビシエド,DeNA,2025,内野手,45,6,39,45,15,42
フォード,DeNA,2025,内野手,23,4,21,28,5,25
伊藤 光,DeNA,2025,捕手,5,0,5,4,0,4
井上 絢登,DeNA,2025,内野手,13,2,12,18,3,17
加藤 響,DeNA,2025,内野手,13,3,13,2,0,2
蝦名 達夫,DeNA,2025,外野手,186,47,162,212,50,184
梶原 昂希,DeNA,2025,外野手,60,12,56,111,28,108
関根 大気,DeNA,2025,外野手,4,0,4,19,4,19
宮﨑 敏郎,DeNA,2025,内野手,140,38,133,211,51,188
京田 陽太,DeNA,2025,内野手,82,14,76,126,28,118
九鬼 隆平,DeNA,2025,捕手,8,2,8,4,1,4
桑原 将志,DeNA,2025,外野手,177,50,168,266,62,227
戸柱 恭孝,DeNA,2025,捕手,32,4,30,68,19,65
佐野 恵太,DeNA,2025,外野手,222,59,203,344,85,320
三森 大貴,DeNA,2025,内野手,60,13,55,115,21,105
山本 祐大,DeNA,2025,捕手,144,31,139,195,51,172
柴田 竜拓,DeNA,2025,内野手,12,1,10,20,1,12
勝又 温史,DeNA,2025,外野手,4,1,4,5,2,5
松尾 汐恩,DeNA,2025,捕手,69,17,65,121,27,111
森 敬斗,DeNA,2025,内野手,27,3,25,48,8,47
神里 和毅,DeNA,2025,外野手,11,1,11,16,7,15
石上 泰輝,DeNA,2025,内野手,56,5,49,97,29,89
知野 直人,DeNA,2025,内野手,12,1,9,8,2,8
田内 真翔,DeNA,2025,内野手,1,0,1,1,1,1
度会 隆輝,DeNA,2025,外野手,113,20,103,187,45,166
東妻 純平,DeNA,2025,捕手,5,0,5,1,1,1
筒香 嘉智,DeNA,2025,外野手,82,11,72,172,40,152
牧 秀悟,DeNA,2025,内野手,149,43,138,238,58,226
林 琢真,DeNA,2025,内野手,114,15,102,171,47,154
オリバレス,オリックス,2025,外野手,11,2,10,24,4,23
ディアス,オリックス,2025,内野手,46,10,44,93,19,84
横山 聖哉,オリックス,2025,内野手,1,0,1,1,0,1
元 謙太,オリックス,2025,外野手,6,0,4,4,1,3
紅林 弘太郎,オリックス,2025,内野手,127,29,116,319,75,284
山中 稜真,オリックス,2025,捕手,8,2,8,44,4,41
若月 健矢,オリックス,2025,捕手,110,38,105,291,62,264
宗 佑磨,オリックス,2025,内野手,148,26,132,239,56,217
森 友哉,オリックス,2025,捕手,37,6,35,153,27,126
杉本 裕太郎,オリックス,2025,外野手,151,39,129,304,65,272
杉澤 龍,オリックス,2025,外野手,4,1,3,12,2,12
西川 龍馬,オリックス,2025,外野手,119,39,113,292,81,274
西野 真弘,オリックス,2025,内野手,52,14,46,200,52,184
石川 亮,オリックス,2025,捕手,1,0,1,,,
太田 椋,オリックス,2025,内野手,141,42,130,352,85,318
大城 滉二,オリックス,2025,内野手,37,10,34,42,7,34
大里 昂生,オリックス,2025,内野手,21,4,20,80,15,65
茶野 篤政,オリックス,2025,外野手,,,,12,2,12
中川 圭太,オリックス,2025,内野手,141,41,135,322,82,298
渡部 遼人,オリックス,2025,外野手,1,0,0,13,2,10
頓宮 裕真,オリックス,2025,捕手,165,33,146,358,85,327
麦谷 祐介,オリックス,2025,外野手,30,7,25,123,24,109
福永 奨,オリックス,2025,捕手,25,4,22,49,6,44
福田 周平,オリックス,2025,外野手,23,3,22,41,6,32
堀 柊那,オリックス,2025,捕手,,,,3,1,3
野口 智哉,オリックス,2025,内野手,5,0,5,59,8,50
来田 涼斗,オリックス,2025,外野手,31,5,28,104,24,96
廣岡 大志,オリックス,2025,内野手,121,32,105,332,70,297
ダウンズ,ソフトバンク,2025,内野手,65,6,57,104,27,90
井上 朋也,ソフトバンク,2025,内野手,16,2,16,8,1,8
海野 隆司,ソフトバンク,2025,捕手,89,18,78,191,36,168
近藤 健介,ソフトバンク,2025,外野手,99,20,86,204,57,170
栗原 陵矢,ソフトバンク,2025,内野手,122,24,103,209,52,182
今宮 健太,ソフトバンク,2025,内野手,63,11,56,119,30,105
佐藤 直樹,ソフトバンク,2025,外野手,100,25,91,112,20,97
笹川 吉康,ソフトバンク,2025,外野手,12,2,12,51,11,49
山川 穂高,ソフトバンク,2025,内野手,163,35,145,331,65,298
山本 恵大,ソフトバンク,2025,外野手,5,1,5,75,14,65
周東 佑京,ソフトバンク,2025,内野手,148,40,134,280,70,250
秋広 優人,ソフトバンク,2025,内野手,18,5,17,49,7,43
緒方 理貢,ソフトバンク,2025,外野手,19,5,18,60,11,56
庄子 雄大,ソフトバンク,2025,内野手,7,2,6,11,2,11
正木 智也,ソフトバンク,2025,外野手,15,1,15,50,14,43
石塚 綜一郎,ソフトバンク,2025,捕手,37,9,36,23,4,19
川瀬 晃,ソフトバンク,2025,内野手,54,12,45,170,38,145
川村 友斗,ソフトバンク,2025,外野手,1,0,1,8,1,8
谷川原 健太,ソフトバンク,2025,捕手,33,13,30,46,6,42
中村 晃,ソフトバンク,2025,外野手,136,27,125,295,62,246
渡邉 陸,ソフトバンク,2025,捕手,10,3,10,40,7,35
牧原 大成,ソフトバンク,2025,内野手,132,38,124,311,89,294
野村 勇,ソフトバンク,2025,内野手,152,38,139,259,64,237
柳町 達,ソフトバンク,2025,外野手,174,48,149,343,81,294
柳田 悠岐,ソフトバンク,2025,外野手,23,7,22,54,14,51
嶺井 博希,ソフトバンク,2025,捕手,59,16,55,102,16,88
廣瀨 隆太,ソフトバンク,2025,内野手,34,8,31,60,11,54
オスナ,ヤクルト,2025,内野手,205,63,189,364,71,337
サンタナ,ヤクルト,2025,外野手,71,17,58,169,41,154
伊藤 琉偉,ヤクルト,2025,内野手,95,20,89,107,18,95
丸山 和郁,ヤクルト,2025,外野手,9,2,8,27,2,25
岩田 幸宏,ヤクルト,2025,外野手,134,24,118,260,69,234
宮本 丈,ヤクルト,2025,内野手,7,3,5,96,20,82
橋本 星哉,ヤクルト,2025,捕手,1,0,1,16,2,15
古賀 優大,ヤクルト,2025,捕手,103,29,94,184,44,167
山田 哲人,ヤクルト,2025,内野手,140,40,129,233,38,208
山野辺 翔,ヤクルト,2025,内野手,14,2,12,12,2,10
松本 直樹,ヤクルト,2025,捕手,15,2,14,21,4,20
西川 遥輝,ヤクルト,2025,外野手,29,1,26,105,19,89
西村 瑠伊斗,ヤクルト,2025,内野手,3,0,3,8,1,8
赤羽 由紘,ヤクルト,2025,内野手,112,20,99,178,34,159
川端 慎吾,ヤクルト,2025,内野手,,,,2,1,2
増田 珠,ヤクルト,2025,外野手,88,18,80,44,9,36
村上 宗隆,ヤクルト,2025,内野手,89,22,79,131,28,106
太田 賢吾,ヤクルト,2025,外野手,44,8,38,84,18,78
中村 悠平,ヤクルト,2025,捕手,82,15,70,136,28,117
長岡 秀樹,ヤクルト,2025,内野手,95,16,90,163,44,154
田中 陽翔,ヤクルト,2025,内野手,4,0,4,9,4,9
内山 壮真,ヤクルト,2025,捕手,192,45,174,274,66,245
武岡 龍世,ヤクルト,2025,内野手,31,6,26,88,13,78
並木 秀尊,ヤクルト,2025,外野手,72,20,68,56,9,46
北村 恵吾,ヤクルト,2025,内野手,48,13,40,90,18,79
北村 拓己,ヤクルト,2025,内野手,61,12,53,71,10,63
茂木 栄五郎,ヤクルト,2025,内野手,40,8,34,132,28,116
鈴木 叶,ヤクルト,2025,捕手,2,1,2,4,1,4
澤井 廉,ヤクルト,2025,外野手,35,7,35,42,7,40
濱田 太貴,ヤクルト,2025,外野手,39,7,37,62,14,57
アセベド,ロッテ,2025,外野手,,,,12,2,11
ソト,ロッテ,2025,内野手,106,19,96,261,57,234
ポランコ,ロッテ,2025,外野手,58,7,53,95,21,86
愛斗,ロッテ,2025,外野手,9,0,7,11,2,8
安田 尚憲,ロッテ,2025,内野手,101,24,94,249,53,224
岡 大海,ロッテ,2025,外野手,85,21,71,95,22,86
角中 勝也,ロッテ,2025,外野手,3,0,2,50,7,40
宮崎 竜成,ロッテ,2025,内野手,29,5,26,81,14,72
佐藤 都志也,ロッテ,2025,捕手,56,14,48,167,27,150
山口 航輝,ロッテ,2025,外野手,34,8,33,78,19,73
山本 大斗,ロッテ,2025,外野手,143,30,129,274,49,256
寺地 隆成,ロッテ,2025,捕手,153,44,143,290,62,271
小川 龍成,ロッテ,2025,内野手,29,6,23,173,41,155
松川 虎生,ロッテ,2025,捕手,2,0,1,7,0,7
上田 希由翔,ロッテ,2025,内野手,43,8,38,141,27,128
植田 将太,ロッテ,2025,捕手,0,0,0,5,1,5
西川 史礁,ロッテ,2025,外野手,134,39,125,310,78,292
石垣 雅海,ロッテ,2025,内野手,9,1,7,11,1,7
石川 慎吾,ロッテ,2025,外野手,27,3,26,9,0,9
池田 来翔,ロッテ,2025,内野手,99,22,94,150,32,133
茶谷 健太,ロッテ,2025,内野手,27,5,23,14,3,13
中村 奨吾,ロッテ,2025,内野手,38,7,36,26,4,23
田村 龍弘,ロッテ,2025,捕手,15,2,14,28,4,24
藤岡 裕大,ロッテ,2025,内野手,124,32,107,249,50,213
藤原 恭大,ロッテ,2025,外野手,141,31,132,310,80,277
友杉 篤輝,ロッテ,2025,内野手,114,30,101,206,34,179
立松 由宇,ロッテ,2025,内野手,,,,6,0,6
和田 康士朗,ロッテ,2025,外野手,,,,10,1,8
髙部 瑛斗,ロッテ,2025,外野手,98,21,87,286,81,270
ゴンザレス,楽天,2025,外野手,74,15,70,134,31,131
フランコ,楽天,2025,内野手,136,31,124,211,44,193
ボイト,楽天,2025,内野手,88,25,80,186,48,163
阿部 寿樹,楽天,2025,内野手,50,7,41,79,16,64
伊藤 裕季也,楽天,2025,内野手,95,19,86,35,6,32
岡島 豪郎,楽天,2025,外野手,,,,1,1,1
吉納 翼,楽天,2025,外野手,,,,3,0,3
吉野 創士,楽天,2025,外野手,3,1,3,10,2,10
黒川 史陽,楽天,2025,内野手,105,21,88,238,69,213
宗山 塁,楽天,2025,内野手,128,27,118,331,85,312
小郷 裕哉,楽天,2025,外野手,51,5,49,141,25,124
小森 航大郎,楽天,2025,内野手,50,12,48,30,3,28
小深田 大翔,楽天,2025,内野手,129,19,109,228,46,190
石原 彪,楽天,2025,捕手,13,1,12,25,2,20
浅村 栄斗,楽天,2025,内野手,135,27,113,255,52,219
村林 一輝,楽天,2025,内野手,194,53,178,362,91,335
太田 光,楽天,2025,捕手,90,16,74,141,17,114
辰己 涼介,楽天,2025,外野手,146,31,124,276,57,243
中島 大輔,楽天,2025,外野手,159,44,153,333,79,310
田中 貴也,楽天,2025,捕手,1,1,1,4,0,2
田中 和基,楽天,2025,外野手,8,0,8,10,1,10
渡邊 佳明,楽天,2025,内野手,28,7,27,138,34,120
島内 宏明,楽天,2025,外野手,5,0,4,6,0,6
入江 大樹,楽天,2025,内野手,7,1,7,3,0,3
武藤 敦貴,楽天,2025,外野手,24,5,22,106,17,86
堀内 謙伍,楽天,2025,捕手,64,14,56,129,29,112
陽 柏翔,楽天,2025,内野手,,,,2,1,2
鈴木 大地,楽天,2025,内野手,40,6,34,157,35,138
オコエ 瑠偉,巨人,2025,外野手,77,20,69,63,11,57
キャベッジ,巨人,2025,外野手,200,54,181,273,61,249
フルプ,巨人,2025,外野手,,,,5,0,5
ヘルナンデス,巨人,2025,外野手,60,11,54,110,21,98
リチャード,巨人,2025,内野手,98,20,90,177,31,164
浦田 俊輔,巨人,2025,内野手,22,5,20,38,6,33
岡田 悠希,巨人,2025,外野手,3,0,3,16,3,15
岡本 和真,巨人,2025,内野手,112,36,95,179,46,156
丸 佳浩,巨人,2025,外野手,155,36,144,211,51,181
岸田 行倫,巨人,2025,捕手,117,37,106,180,41,158
吉川 尚輝,巨人,2025,内野手,179,40,159,276,72,245
郡 拓也,巨人,2025,捕手,2,0,2,,,
甲斐 拓也,巨人,2025,捕手,86,19,75,161,39,148
荒巻 悠,巨人,2025,内野手,12,2,12,49,14,42
佐々木 俊輔,巨人,2025,外野手,45,9,37,116,26,104
坂本 勇人,巨人,2025,内野手,74,17,66,98,15,87
笹原 操希,巨人,2025,外野手,9,1,8,13,1,12
三塚 琉生,巨人,2025,外野手,4,0,4,8,0,8
山瀬 慎之助,巨人,2025,捕手,,,,4,1,4
若林 楽人,巨人,2025,外野手,81,16,71,159,36,144
重信 慎之介,巨人,2025,外野手,,,,3,1,3
小林 誠司,巨人,2025,捕手,7,1,6,19,2,15
石塚 裕惺,巨人,2025,内野手,5,1,5,4,0,4
泉口 友汰,巨人,2025,内野手,227,60,206,343,94,305
浅野 翔吾,巨人,2025,外野手,26,4,23,57,10,52
増田 大輝,巨人,2025,内野手,10,2,9,14,1,12
増田 陸,巨人,2025,内野手,116,27,108,169,34,156
大城 卓三,巨人,2025,捕手,30,3,29,69,14,62
中山 礼都,巨人,2025,内野手,90,17,89,221,59,198
長野 久義,巨人,2025,外野手,15,1,14,9,2,8
湯浅 大,巨人,2025,内野手,1,0,1,2,0,2
萩尾 匡也,巨人,2025,外野手,8,1,7,16,3,16
門脇 誠,巨人,2025,内野手,49,10,44,127,25,113
ファビアン,広島,2025,外野手,212,54,199,358,95,340
モンテロ,広島,2025,内野手,153,37,143,241,57,225
磯村 嘉孝,広島,2025,捕手,4,0,4,3,0,3
羽月 隆太郎,広島,2025,内野手,22,4,21,96,27,84
菊池 涼介,広島,2025,内野手,182,40,167,207,49,188
久保 修,広島,2025,外野手,5,0,5,9,2,8
佐々木 泰,広島,2025,内野手,53,13,53,132,36,129
佐藤 啓介,広島,2025,内野手,2,0,2,14,1,13
坂倉 将吾,広島,2025,捕手,144,31,130,254,51,215
山足 達也,広島,2025,内野手,7,1,5,7,0,4
秋山 翔吾,広島,2025,外野手,44,8,38,113,30,107
小園 海斗,広島,2025,内野手,230,64,212,337,97,309
松山 竜平,広島,2025,外野手,,,,1,0,1
上本 崇司,広島,2025,内野手,23,5,20,8,0,7
清水 叶人,広島,2025,捕手,,,,14,2,13
石原 貴規,広島,2025,捕手,53,11,49,63,9,55
前川 誠太,広島,2025,内野手,23,8,22,33,2,32
大盛 穂,広島,2025,外野手,44,9,43,128,34,119
中村 健人,広島,2025,外野手,9,0,5,1,0,1
中村 奨成,広島,2025,外野手,158,41,148,210,56,196
田村 俊介,広島,2025,外野手,12,4,12,56,12,51
田中 広輔,広島,2025,内野手,9,0,7,35,5,27
渡邉 悠斗,広島,2025,内野手,,,,8,1,8
堂林 翔太,広島,2025,内野手,30,7,27,47,6,43
内田 湘大,広島,2025,内野手,2,0,2,8,2,7
二俣 翔一,広島,2025,内野手,69,9,64,61,13,54
末包 昇大,広島,2025,外野手,189,52,172,288,54,265
野間 峻祥,広島,2025,外野手,26,6,23,139,32,131
矢野 雅哉,広島,2025,内野手,131,22,107,203,37,177
林 晃汰,広島,2025,内野手,5,0,5,43,9,43
會澤 翼,広島,2025,捕手,17,0,14,36,5,29
セデーニョ,西武,2025,内野手,64,16,61,180,35,164
デービス,西武,2025,内野手,33,5,29,98,18,84
ネビン,西武,2025,外野手,156,30,141,411,111,368
モンテル,西武,2025,外野手,3,0,3,8,1,8
外崎 修汰,西武,2025,内野手,117,22,103,296,62,256
岸 潤一郎,西武,2025,外野手,10,1,10,21,4,20
栗山 巧,西武,2025,外野手,5,0,5,18,2,18
元山 飛優,西武,2025,内野手,11,0,11,82,13,74
源田 壮亮,西武,2025,内野手,113,24,99,248,43,221
古賀 悠斗,西武,2025,捕手,82,20,75,246,46,214
古市 尊,西武,2025,捕手,5,3,5,14,5,13
古川 雄大,西武,2025,外野手,3,1,1,13,0,11
佐藤 太陽,西武,2025,内野手,8,2,6,26,3,24
山村 崇嘉,西武,2025,内野手,55,13,49,176,39,162
児玉 亮涼,西武,2025,内野手,26,5,23,27,3,24
松原 聖弥,西武,2025,外野手,3,1,3,21,5,19
西川 愛也,西武,2025,外野手,184,43,172,368,91,335
村田 怜音,西武,2025,内野手,21,4,21,64,12,61
滝澤 夏央,西武,2025,内野手,127,24,111,311,66,274
炭谷 銀仁朗,西武,2025,捕手,34,10,32,54,9,49
中村 剛也,西武,2025,内野手,40,7,33,69,16,63
仲三河 優太,西武,2025,外野手,1,0,1,9,2,8
仲田 慶介,西武,2025,内野手,26,4,23,70,16,64
長谷川 信哉,西武,2025,外野手,134,34,121,316,56,279
柘植 世那,西武,2025,捕手,6,1,5,11,1,11
渡部 聖弥,西武,2025,外野手,122,36,114,328,74,311
蛭間 拓哉,西武,2025,外野手,20,4,19,17,2,15
平沼 翔太,西武,2025,外野手,29,4,28,134,30,128
平沢 大河,西武,2025,内野手,2,0,2,15,1,15
牧野 翔矢,西武,2025,捕手,16,4,16,51,9,45
野村 大樹,西武,2025,内野手,10,0,10,26,6,25
齋藤 大翔,西武,2025,内野手,4,1,4,8,0,7
髙松 渡,西武,2025,内野手,9,0,7,10,1,10
カリステ,中日,2025,内野手,76,16,71,116,24,105
チェイビス,中日,2025,内野手,39,7,37,80,11,68
ブライト 健太,中日,2025,外野手,84,21,75,73,15,64
ボスラー,中日,2025,外野手,153,35,143,338,83,309
ロドリゲス,中日,2025,内野手,10,3,8,24,3,21
宇佐見 真吾,中日,2025,捕手,3,0,2,37,4,32
鵜飼 航丞,中日,2025,外野手,20,5,20,33,5,33
岡林 勇希,中日,2025,外野手,205,51,191,428,117,387
加藤 匠馬,中日,2025,捕手,22,3,19,52,12,45
高橋 周平,中日,2025,内野手,24,4,22,76,18,72
佐藤 龍世,中日,2025,内野手,34,8,28,43,5,38
細川 成也,中日,2025,外野手,141,38,120,282,54,240
山本 泰寛,中日,2025,内野手,158,35,152,214,49,195
駿太,中日,2025,外野手,1,0,0,17,4,17
上林 誠知,中日,2025,外野手,134,33,127,378,98,359
森 駿太,中日,2025,内野手,10,2,9,12,2,11
石伊 雄太,中日,2025,捕手,90,21,80,179,31,155
石橋 康太,中日,2025,捕手,7,0,5,5,1,3
石川 昂弥,中日,2025,内野手,23,5,23,52,5,49
川越 誠司,中日,2025,外野手,4,0,2,40,7,36
村松 開人,中日,2025,内野手,47,7,40,139,21,118
大島 洋平,中日,2025,外野手,15,5,15,83,18,80
中田 翔,中日,2025,内野手,35,6,34,34,4,29
津田 啓史,中日,2025,内野手,2,0,2,1,0,1
辻本 倫太郎,中日,2025,内野手,35,5,34,21,2,19
田中 幹也,中日,2025,内野手,119,26,102,245,59,213
土田 龍空,中日,2025,内野手,16,3,16,37,4,35
板山 祐太郎,中日,2025,内野手,12,1,11,180,36,168
樋口 正修,中日,2025,内野手,2,0,2,23,2,20
尾田 剛樹,中日,2025,外野手,,,,5,0,5
福永 裕基,中日,2025,内野手,18,6,17,39,3,35
味谷 大誠,中日,2025,捕手,2,0,2,6,1,5
木下 拓哉,中日,2025,捕手,46,9,42,76,18,70
濱 将乃介,中日,2025,外野手,1,1,1,3,0,3
マルティネス,日本ハム,2025,捕手,22,2,21,51,10,48
レイエス,日本ハム,2025,外野手,165,50,143,363,82,333
吉田 賢吾,日本ハム,2025,捕手,52,9,48,60,14,58
宮崎 一樹,日本ハム,2025,外野手,4,0,4,2,1,2
郡司 裕也,日本ハム,2025,捕手,131,34,108,292,74,257
五十幡 亮汰,日本ハム,2025,外野手,70,13,65,238,53,220
今川 優馬,日本ハム,2025,外野手,26,6,25,31,7,28
細川 凌平,日本ハム,2025,内野手,1,0,0,18,2,16
阪口 樂,日本ハム,2025,内野手,,,,1,0,1
山縣 秀,日本ハム,2025,内野手,68,13,64,130,30,121
若林 晃弘,日本ハム,2025,内野手,,,,7,1,7
松本 剛,日本ハム,2025,外野手,71,14,65,114,16,95
上川畑 大悟,日本ハム,2025,内野手,21,0,21,60,12,51
進藤 勇也,日本ハム,2025,捕手,7,0,6,24,2,20
水谷 瞬,日本ハム,2025,外野手,106,35,102,215,47,194
水野 達稀,日本ハム,2025,内野手,90,21,84,242,52,211
清宮 幸太郎,日本ハム,2025,内野手,183,51,170,394,92,355
石井 一成,日本ハム,2025,内野手,100,20,92,263,66,240
中島 卓也,日本ハム,2025,内野手,2,1,1,28,6,20
田宮 裕涼,日本ハム,2025,捕手,61,11,54,213,51,191
奈良間 大己,日本ハム,2025,内野手,32,6,30,71,14,61
梅林 優貴,日本ハム,2025,捕手,2,0,2,3,0,3
伏見 寅威,日本ハム,2025,捕手,66,18,61,109,20,97
万波 中正,日本ハム,2025,外野手,154,32,138,307,64,282
野村 佑希,日本ハム,2025,内野手,131,34,119,238,57,220
有薗 直輝,日本ハム,2025,内野手,9,2,8,26,5,23
淺間 大基,日本ハム,2025,外野手,15,3,13,93,14,79