選手名,球団,年度,ポジション,対被左打数,対左被安打,対被右打数,対右被安打
エスコバー,DeNA,2021,投手,91,19,117,20
シャッケルフォード,DeNA,2021,投手,55,15,62,13
ピープルズ,DeNA,2021,投手,92,26,79,15
ロメロ,DeNA,2021,投手,177,55,129,34
伊勢 大夢,DeNA,2021,投手,67,18,57,12
笠井 崇正,DeNA,2021,投手,4,2,4,3
宮國 椋丞,DeNA,2021,投手,25,8,36,10
京山 将弥,DeNA,2021,投手,170,52,132,39
今永 昇太,DeNA,2021,投手,184,46,255,51
砂田 毅樹,DeNA,2021,投手,98,18,45,8
坂本 裕哉,DeNA,2021,投手,127,39,151,50
阪口 皓亮,DeNA,2021,投手,76,20,59,17
三上 朋也,DeNA,2021,投手,56,16,78,20
三嶋 一輝,DeNA,2021,投手,128,40,102,26
山﨑 康晃,DeNA,2021,投手,119,34,90,24
上茶谷 大河,DeNA,2021,投手,77,22,57,15
進藤 拓也,DeNA,2021,投手,1,0,2,0
石田 健大,DeNA,2021,投手,72,25,72,19
大貫 晋一,DeNA,2021,投手,248,83,212,54
池谷 蒼大,DeNA,2021,投手,8,0,12,2
中川 虎大,DeNA,2021,投手,54,17,51,15
田中 健二朗,DeNA,2021,投手,8,2,7,1
東 克樹,DeNA,2021,投手,38,5,32,5
入江 大生,DeNA,2021,投手,42,11,28,11
武藤 祐太,DeNA,2021,投手,1,0,,
風張 蓮,DeNA,2021,投手,18,6,15,6
平田 真吾,DeNA,2021,投手,83,25,77,16
平良 拳太郎,DeNA,2021,投手,20,5,15,1
有吉 優樹,DeNA,2021,投手,17,5,9,3
櫻井 周斗,DeNA,2021,投手,81,17,70,19
濵口 遥大,DeNA,2021,投手,145,38,181,35
K-鈴木,オリックス,2021,投手,73,17,72,17
スパークマン,オリックス,2021,投手,41,9,23,6
バルガス,オリックス,2021,投手,24,7,15,6
ヒギンス,オリックス,2021,投手,89,18,81,19
阿部 翔太,オリックス,2021,投手,10,4,5,0
海田 智行,オリックス,2021,投手,29,6,8,2
吉田 凌,オリックス,2021,投手,19,3,37,4
宮城 大弥,オリックス,2021,投手,222,52,312,66
金田 和之,オリックス,2021,投手,12,2,25,6
榊原 翼,オリックス,2021,投手,4,3,6,1
山岡 泰輔,オリックス,2021,投手,146,36,123,28
山田 修義,オリックス,2021,投手,99,25,59,13
山本 由伸,オリックス,2021,投手,386,67,296,57
山﨑 福也,オリックス,2021,投手,205,51,230,60
山﨑 颯一郎,オリックス,2021,投手,74,21,67,11
漆原 大晟,オリックス,2021,投手,55,12,72,18
増井 浩俊,オリックス,2021,投手,131,34,142,43
村西 良太,オリックス,2021,投手,13,5,38,10
竹安 大知,オリックス,2021,投手,97,24,85,24
中川 颯,オリックス,2021,投手,1,1,4,1
張 奕,オリックス,2021,投手,24,8,27,13
田嶋 大樹,オリックス,2021,投手,229,60,308,77
能見 篤史,オリックス,2021,投手,36,13,49,13
比嘉 幹貴,オリックス,2021,投手,10,2,57,12
富山 凌雅,オリックス,2021,投手,88,23,80,14
平野 佳寿,オリックス,2021,投手,73,18,77,12
本田 仁海,オリックス,2021,投手,22,7,18,6
鈴木 優,オリックス,2021,投手,19,6,19,3
澤田 圭佑,オリックス,2021,投手,27,11,27,4
齋藤 綱記,オリックス,2021,投手,5,1,4,1
スチュワート・ジュニア,ソフトバンク,2021,投手,40,13,46,8
マルティネス,ソフトバンク,2021,投手,278,62,227,46
モイネロ,ソフトバンク,2021,投手,51,9,54,6
嘉弥真 新也,ソフトバンク,2021,投手,80,15,24,7
笠谷 俊介,ソフトバンク,2021,投手,93,24,127,28
岩嵜 翔,ソフトバンク,2021,投手,85,18,78,19
古谷 優人,ソフトバンク,2021,投手,26,4,21,3
甲斐野 央,ソフトバンク,2021,投手,30,9,44,7
高橋 礼,ソフトバンク,2021,投手,69,21,55,10
松本 裕樹,ソフトバンク,2021,投手,133,33,137,31
森 唯斗,ソフトバンク,2021,投手,56,7,48,13
杉山 一樹,ソフトバンク,2021,投手,39,5,43,8
石川 柊太,ソフトバンク,2021,投手,297,71,275,64
千賀 滉大,ソフトバンク,2021,投手,144,33,162,27
川原 弘之,ソフトバンク,2021,投手,5,3,4,0
泉 圭輔,ソフトバンク,2021,投手,37,7,56,13
大関 友久,ソフトバンク,2021,投手,45,9,29,3
大竹 耕太郎,ソフトバンク,2021,投手,4,0,13,7
津森 宥紀,ソフトバンク,2021,投手,53,9,65,15
田浦 文丸,ソフトバンク,2021,投手,35,8,46,14
田中 正義,ソフトバンク,2021,投手,28,3,28,6
渡邉 雄大,ソフトバンク,2021,投手,11,3,6,3
東浜 巨,ソフトバンク,2021,投手,148,42,150,43
板東 湧梧,ソフトバンク,2021,投手,64,15,80,13
尾形 崇斗,ソフトバンク,2021,投手,16,2,15,1
武田 翔太,ソフトバンク,2021,投手,124,25,156,41
和田 毅,ソフトバンク,2021,投手,158,47,203,48
髙橋 純平,ソフトバンク,2021,投手,17,3,20,3
サイスニード,ヤクルト,2021,投手,134,35,113,25
スアレス,ヤクルト,2021,投手,144,35,149,47
マクガフ,ヤクルト,2021,投手,120,22,109,21
奥川 恭伸,ヤクルト,2021,投手,191,52,201,47
吉田 大喜,ヤクルト,2021,投手,53,15,43,16
近藤 弘樹,ヤクルト,2021,投手,31,8,34,7
金久保 優斗,ヤクルト,2021,投手,90,22,70,17
原 樹理,ヤクルト,2021,投手,99,30,80,15
高橋 奎二,ヤクルト,2021,投手,134,28,148,31
高梨 裕稔,ヤクルト,2021,投手,117,29,127,33
今野 龍太,ヤクルト,2021,投手,137,30,96,25
坂本 光士郎,ヤクルト,2021,投手,46,14,76,15
山野 太一,ヤクルト,2021,投手,3,2,6,3
寺島 成輝,ヤクルト,2021,投手,3,2,7,3
小川 泰弘,ヤクルト,2021,投手,240,62,246,70
杉山 晃基,ヤクルト,2021,投手,11,5,15,4
星 知弥,ヤクルト,2021,投手,47,14,48,9
清水 昇,ヤクルト,2021,投手,140,26,107,29
石山 泰稚,ヤクルト,2021,投手,112,30,103,24
石川 雅規,ヤクルト,2021,投手,139,36,170,45
大下 佑馬,ヤクルト,2021,投手,76,18,69,16
大西 広樹,ヤクルト,2021,投手,81,19,63,17
長谷川 宙輝,ヤクルト,2021,投手,5,0,9,4
田口 麗斗,ヤクルト,2021,投手,196,64,210,62
梅野 雄吾,ヤクルト,2021,投手,49,13,45,9
ハーマン,ロッテ,2021,投手,90,21,83,26
フローレス,ロッテ,2021,投手,19,4,27,5
ロメロ,ロッテ,2021,投手,45,13,36,6
益田 直也,ロッテ,2021,投手,112,17,117,26
横山 陸人,ロッテ,2021,投手,21,6,21,8
河村 説人,ロッテ,2021,投手,83,23,68,16
岩下 大輝,ロッテ,2021,投手,257,51,197,59
国吉 佑樹,ロッテ,2021,投手,104,22,88,20
佐々木 千隼,ロッテ,2021,投手,117,22,81,14
佐々木 朗希,ロッテ,2021,投手,134,27,103,24
小島 和哉,ロッテ,2021,投手,273,65,266,58
小野 郁,ロッテ,2021,投手,85,16,98,21
成田 翔,ロッテ,2021,投手,7,1,5,2
石川 歩,ロッテ,2021,投手,160,37,134,36
大嶺 祐太,ロッテ,2021,投手,21,5,27,10
中村 稔弥,ロッテ,2021,投手,80,21,67,19
田中 靖洋,ロッテ,2021,投手,68,18,67,24
土居 豪人,ロッテ,2021,投手,28,10,24,5
土肥 星也,ロッテ,2021,投手,5,4,5,2
唐川 侑己,ロッテ,2021,投手,71,19,63,10
東妻 勇輔,ロッテ,2021,投手,72,26,61,12
東條 大樹,ロッテ,2021,投手,5,3,9,4
南 昌輝,ロッテ,2021,投手,,,1,0
二木 康太,ロッテ,2021,投手,247,65,204,54
美馬 学,ロッテ,2021,投手,240,71,218,68
本前 郁也,ロッテ,2021,投手,61,18,83,23
鈴木 昭汰,ロッテ,2021,投手,139,35,163,43
ブセニッツ,楽天,2021,投手,52,18,60,14
安樂 智大,楽天,2021,投手,110,24,90,21
塩見 貴洋,楽天,2021,投手,5,1,15,4
釜田 佳直,楽天,2021,投手,8,3,10,5
岸 孝之,楽天,2021,投手,299,77,269,72
弓削 隼人,楽天,2021,投手,19,6,38,14
高田 孝一,楽天,2021,投手,17,3,9,3
酒居 知史,楽天,2021,投手,97,22,82,11
松井 裕樹,楽天,2021,投手,57,12,88,10
森原 康平,楽天,2021,投手,58,13,58,16
菅原 秀,楽天,2021,投手,5,1,3,1
西口 直人,楽天,2021,投手,107,19,103,27
石橋 良太,楽天,2021,投手,28,7,19,5
宋 家豪,楽天,2021,投手,114,23,105,23
早川 隆久,楽天,2021,投手,240,70,280,62
則本 昂大,楽天,2021,投手,291,63,248,60
瀧中 瞭太,楽天,2021,投手,219,51,168,46
津留﨑 大成,楽天,2021,投手,16,5,24,6
田中 将大,楽天,2021,投手,309,72,266,59
渡邊 佑樹,楽天,2021,投手,9,4,8,1
内間 拓馬,楽天,2021,投手,20,3,20,6
福井 優也,楽天,2021,投手,37,8,39,9
福山 博之,楽天,2021,投手,51,11,35,12
牧田 和久,楽天,2021,投手,34,11,33,6
涌井 秀章,楽天,2021,投手,204,63,178,47
鈴木 翔天,楽天,2021,投手,9,3,6,0
髙田 萌生,楽天,2021,投手,17,7,17,6
サンチェス,巨人,2021,投手,153,42,132,40
デラロサ,巨人,2021,投手,66,16,92,22
ビエイラ,巨人,2021,投手,104,20,92,18
メルセデス,巨人,2021,投手,140,40,195,56
井納 翔一,巨人,2021,投手,7,4,18,7
横川 凱,巨人,2021,投手,15,5,19,4
鍵谷 陽平,巨人,2021,投手,59,17,100,22
古川 侑利,巨人,2021,投手,2,0,4,3
戸郷 翔征,巨人,2021,投手,300,77,261,53
戸根 千明,巨人,2021,投手,74,10,57,15
戸田 懐生,巨人,2021,投手,4,0,7,3
高木 京介,巨人,2021,投手,37,9,34,13
高梨 雄平,巨人,2021,投手,87,17,56,17
今村 信貴,巨人,2021,投手,94,24,149,42
桜井 俊貴,巨人,2021,投手,51,12,74,23
山口 俊,巨人,2021,投手,150,37,143,29
沼田 翔平,巨人,2021,投手,3,1,6,2
菅野 智之,巨人,2021,投手,214,55,208,35
大江 竜聖,巨人,2021,投手,84,21,37,8
大竹 寛,巨人,2021,投手,4,2,7,3
中川 皓太,巨人,2021,投手,89,28,108,19
直江 大輔,巨人,2021,投手,28,10,16,5
田中 豊樹,巨人,2021,投手,56,9,73,13
畠 世周,巨人,2021,投手,162,43,188,40
平内 龍太,巨人,2021,投手,9,5,12,3
野上 亮磨,巨人,2021,投手,24,4,31,4
髙橋 優貴,巨人,2021,投手,248,64,272,61
ケムナ 誠,広島,2021,投手,82,22,74,23
コルニエル,広島,2021,投手,106,31,122,25
ネバラスカス,広島,2021,投手,3,2,6,1
バード,広島,2021,投手,38,10,42,11
フランスア,広島,2021,投手,9,4,15,5
遠藤 淳志,広島,2021,投手,19,5,10,4
菊池 保則,広島,2021,投手,56,15,64,16
玉村 昇悟,広島,2021,投手,154,34,227,61
九里 亜蓮,広島,2021,投手,318,85,251,65
栗林 良吏,広島,2021,投手,91,16,80,7
高橋 昂也,広島,2021,投手,99,27,195,58
高橋 樹也,広島,2021,投手,44,10,52,10
小林 樹斗,広島,2021,投手,7,1,10,5
床田 寛樹,広島,2021,投手,116,31,222,60
森浦 大輔,広島,2021,投手,79,24,95,15
森下 暢仁,広島,2021,投手,329,85,271,59
大瀬良 大地,広島,2021,投手,274,72,273,64
大道 温貴,広島,2021,投手,105,27,94,23
中村 祐太,広島,2021,投手,32,14,24,7
中田 廉,広島,2021,投手,40,12,34,8
中﨑 翔太,広島,2021,投手,12,5,8,4
藤井 黎來,広島,2021,投手,14,3,14,8
野村 祐輔,広島,2021,投手,99,35,48,13
矢崎 拓也,広島,2021,投手,10,3,17,4
薮田 和樹,広島,2021,投手,6,3,9,0
塹江 敦哉,広島,2021,投手,68,19,97,29
アルカンタラ,阪神,2021,投手,117,31,108,24
エドワーズ,阪神,2021,投手,17,5,8,1
ガンケル,阪神,2021,投手,207,46,227,53
スアレス,阪神,2021,投手,121,20,98,20
チェン・ウェイン,阪神,2021,投手,16,6,19,4
伊藤 将司,阪神,2021,投手,218,44,296,75
加治屋 蓮,阪神,2021,投手,13,3,14,4
岩崎 優,阪神,2021,投手,84,17,127,30
岩貞 祐太,阪神,2021,投手,84,24,68,18
岩田 稔,阪神,2021,投手,7,2,5,1
及川 雅貴,阪神,2021,投手,81,20,57,11
桑原 謙太朗,阪神,2021,投手,15,5,12,3
守屋 功輝,阪神,2021,投手,7,2,7,3
秋山 拓巳,阪神,2021,投手,271,62,228,59
小川 一平,阪神,2021,投手,28,8,45,7
小野 泰己,阪神,2021,投手,33,5,29,12
小林 慶祐,阪神,2021,投手,34,8,40,9
西 純矢,阪神,2021,投手,13,2,13,2
西 勇輝,阪神,2021,投手,308,84,241,59
青柳 晃洋,阪神,2021,投手,361,87,230,56
石井 大智,阪神,2021,投手,37,9,31,8
村上 頌樹,阪神,2021,投手,14,6,10,3
湯浅 京己,阪神,2021,投手,9,7,8,3
藤浪 晋太郎,阪神,2021,投手,109,28,82,19
二保 旭,阪神,2021,投手,59,17,47,12
馬場 皐輔,阪神,2021,投手,82,20,95,23
浜地 真澄,阪神,2021,投手,12,5,11,3
齋藤 友貴哉,阪神,2021,投手,41,10,47,13
髙橋 遥人,阪神,2021,投手,73,15,101,15
ギャレット,西武,2021,投手,119,29,96,28
ダーモディ,西武,2021,投手,55,21,82,25
ニール,西武,2021,投手,139,47,97,29
伊藤 翔,西武,2021,投手,36,14,34,8
井上 広輝,西武,2021,投手,12,4,8,5
吉川 光夫,西武,2021,投手,14,6,5,2
宮川 哲,西武,2021,投手,39,8,55,15
公文 克彦,西武,2021,投手,43,11,27,9
今井 達也,西武,2021,投手,308,76,251,47
佐々木 健,西武,2021,投手,21,8,15,5
佐野 泰雄,西武,2021,投手,44,17,29,5
十亀 剣,西武,2021,投手,69,26,74,15
小川 龍也,西武,2021,投手,5,1,3,1
松岡 洸希,西武,2021,投手,7,3,8,2
松本 航,西武,2021,投手,304,69,252,68
上間 永遠,西武,2021,投手,34,12,49,14
森脇 亮介,西武,2021,投手,73,19,81,23
水上 由伸,西武,2021,投手,45,11,45,8
増田 達至,西武,2021,投手,69,19,51,13
大曲 錬,西武,2021,投手,6,0,5,1
田村 伊知郎,西武,2021,投手,51,8,51,9
渡邉 勇太朗,西武,2021,投手,108,28,90,15
内海 哲也,西武,2021,投手,5,2,26,9
浜屋 将太,西武,2021,投手,69,18,72,21
武隈 祥太,西武,2021,投手,85,17,16,0
平井 克典,西武,2021,投手,172,53,120,32
平良 海馬,西武,2021,投手,115,18,90,18
本田 圭佑,西武,2021,投手,44,13,52,10
與座 海人,西武,2021,投手,58,16,82,15
髙橋 光成,西武,2021,投手,338,89,308,68
R.マルティネス,中日,2021,投手,89,16,75,10
ロサリオ,中日,2021,投手,14,4,17,4
ロドリゲス,中日,2021,投手,124,30,107,26
岡田 俊哉,中日,2021,投手,33,14,33,9
岡野 祐一郎,中日,2021,投手,18,8,16,5
笠原 祥太郎,中日,2021,投手,42,8,33,12
橋本 侑樹,中日,2021,投手,53,15,48,11
近藤 廉,中日,2021,投手,3,0,4,1
佐藤 優,中日,2021,投手,13,4,17,9
三ツ間 卓也,中日,2021,投手,19,7,8,3
山井 大介,中日,2021,投手,,,1,0
山本 拓実,中日,2021,投手,24,8,33,8
勝野 昌慶,中日,2021,投手,172,44,178,48
小笠原 慎之介,中日,2021,投手,203,51,348,90
松葉 貴大,中日,2021,投手,120,35,169,39
森 博人,中日,2021,投手,23,7,22,4
清水 達也,中日,2021,投手,7,1,7,4
祖父江 大輔,中日,2021,投手,93,31,101,28
大野 雄大,中日,2021,投手,211,64,319,57
谷元 圭介,中日,2021,投手,46,17,42,6
田島 慎二,中日,2021,投手,31,8,37,7
藤嶋 健人,中日,2021,投手,87,15,91,20
梅津 晃大,中日,2021,投手,13,2,24,4
福 敬登,中日,2021,投手,90,16,74,21
福谷 浩司,中日,2021,投手,210,60,196,52
又吉 克樹,中日,2021,投手,121,28,98,19
柳 裕也,中日,2021,投手,332,77,288,56
鈴木 博志,中日,2021,投手,38,10,43,12
バーヘイゲン,日本ハム,2021,投手,219,59,146,31
伊藤 大海,日本ハム,2021,投手,305,77,228,48
井口 和朋,日本ハム,2021,投手,64,9,71,15
加藤 貴之,日本ハム,2021,投手,266,65,293,71
河野 竜生,日本ハム,2021,投手,158,38,173,36
吉田 輝星,日本ハム,2021,投手,4,2,5,2
宮西 尚生,日本ハム,2021,投手,78,15,87,27
玉井 大翔,日本ハム,2021,投手,65,16,94,25
金子 弌大,日本ハム,2021,投手,66,25,56,17
斎藤 佑樹,日本ハム,2021,投手,,0,,
上原 健太,日本ハム,2021,投手,25,7,13,1
上沢 直之,日本ハム,2021,投手,341,71,232,48
杉浦 稔大,日本ハム,2021,投手,105,17,87,17
生田目 翼,日本ハム,2021,投手,8,1,9,0
西村 天裕,日本ハム,2021,投手,66,16,53,17
村田 透,日本ハム,2021,投手,21,10,23,8
谷川 昌希,日本ハム,2021,投手,22,5,16,4
池田 隆英,日本ハム,2021,投手,172,50,147,38
望月 大希,日本ハム,2021,投手,9,0,4,2
北浦 竜次,日本ハム,2021,投手,11,2,10,3
堀 瑞輝,日本ハム,2021,投手,97,16,90,20
立野 和明,日本ハム,2021,投手,106,22,88,17
エスコバー,DeNA,2022,投手,115,29,108,19
ガゼルマン,DeNA,2022,投手,30,7,40,8
クリスキー,DeNA,2022,投手,43,8,31,7
ピープルズ,DeNA,2022,投手,8,3,9,6
ロメロ,DeNA,2022,投手,199,52,158,48
伊勢 大夢,DeNA,2022,投手,109,24,129,28
宮國 椋丞,DeNA,2022,投手,48,19,45,16
京山 将弥,DeNA,2022,投手,115,28,100,28
今永 昇太,DeNA,2022,投手,228,52,291,54
砂田 毅樹,DeNA,2022,投手,31,13,21,4
坂本 裕哉,DeNA,2022,投手,80,17,102,35
阪口 皓亮,DeNA,2022,投手,10,3,3,1
三浦 銀二,DeNA,2022,投手,24,9,16,7
三上 朋也,DeNA,2022,投手,47,17,48,11
三嶋 一輝,DeNA,2022,投手,18,4,23,4
山﨑 康晃,DeNA,2022,投手,112,18,76,11
上茶谷 大河,DeNA,2022,投手,121,37,130,28
森原 康平,DeNA,2022,投手,16,4,18,5
石川 達也,DeNA,2022,投手,9,2,11,2
石田 健大,DeNA,2022,投手,144,29,163,38
大貫 晋一,DeNA,2022,投手,264,71,237,55
池谷 蒼大,DeNA,2022,投手,9,0,10,3
中川 虎大,DeNA,2022,投手,19,5,18,3
田中 健二朗,DeNA,2022,投手,81,17,53,14
東 克樹,DeNA,2022,投手,91,34,117,33
入江 大生,DeNA,2022,投手,111,26,118,23
平田 真吾,DeNA,2022,投手,80,24,86,23
有吉 優樹,DeNA,2022,投手,9,2,6,2
濵口 遥大,DeNA,2022,投手,201,50,220,54
K-鈴木,オリックス,2022,投手,28,7,18,5
バルガス,オリックス,2022,投手,38,12,17,6
ビドル,オリックス,2022,投手,83,22,72,14
ワゲスパック,オリックス,2022,投手,155,33,114,30
阿部 翔太,オリックス,2022,投手,88,13,62,9
宇田川 優希,オリックス,2022,投手,41,7,32,3
吉田 凌,オリックス,2022,投手,8,4,5,1
宮城 大弥,オリックス,2022,投手,255,56,309,81
近藤 大亮,オリックス,2022,投手,62,17,44,8
黒木 優太,オリックス,2022,投手,50,9,46,11
山岡 泰輔,オリックス,2022,投手,265,63,212,55
山田 修義,オリックス,2022,投手,30,9,9,2
山本 由伸,オリックス,2022,投手,422,91,271,46
山﨑 福也,オリックス,2022,投手,210,60,223,52
山﨑 颯一郎,オリックス,2022,投手,80,17,50,13
小木田 敦也,オリックス,2022,投手,35,8,22,8
増井 浩俊,オリックス,2022,投手,23,11,13,2
村西 良太,オリックス,2022,投手,41,11,47,12
竹安 大知,オリックス,2022,投手,50,13,46,14
中村 勝,オリックス,2022,投手,13,7,15,5
張 奕,オリックス,2022,投手,48,12,36,11
田嶋 大樹,オリックス,2022,投手,236,52,229,63
東 晃平,オリックス,2022,投手,28,8,26,9
能見 篤史,オリックス,2022,投手,8,1,4,1
比嘉 幹貴,オリックス,2022,投手,22,6,58,14
富山 凌雅,オリックス,2022,投手,12,2,20,8
平野 佳寿,オリックス,2022,投手,97,19,57,6
本田 仁海,オリックス,2022,投手,92,27,64,12
椋木 蓮,オリックス,2022,投手,29,5,31,3
齋藤 綱記,オリックス,2022,投手,14,5,8,2
モイネロ,ソフトバンク,2022,投手,82,9,97,13
レイ,ソフトバンク,2022,投手,200,44,167,38
嘉弥真 新也,ソフトバンク,2022,投手,81,15,13,3
笠谷 俊介,ソフトバンク,2022,投手,33,10,33,9
甲斐野 央,ソフトバンク,2022,投手,43,10,45,9
高橋 礼,ソフトバンク,2022,投手,5,3,9,2
秋吉 亮,ソフトバンク,2022,投手,6,3,4,1
松本 裕樹,ソフトバンク,2022,投手,92,19,94,21
森 唯斗,ソフトバンク,2022,投手,79,22,46,8
杉山 一樹,ソフトバンク,2022,投手,72,24,90,21
石川 柊太,ソフトバンク,2022,投手,273,59,236,63
千賀 滉大,ソフトバンク,2022,投手,299,69,197,34
大関 友久,ソフトバンク,2022,投手,177,50,198,38
大竹 耕太郎,ソフトバンク,2022,投手,18,4,13,6
津森 宥紀,ソフトバンク,2022,投手,77,18,86,18
椎野 新,ソフトバンク,2022,投手,50,14,40,11
田浦 文丸,ソフトバンク,2022,投手,11,3,10,4
田上 奏大,ソフトバンク,2022,投手,10,2,13,2
田中 正義,ソフトバンク,2022,投手,12,2,4,0
東浜 巨,ソフトバンク,2022,投手,258,68,230,46
藤井 皓哉,ソフトバンク,2022,投手,98,9,86,9
尾形 崇斗,ソフトバンク,2022,投手,23,6,24,8
武田 翔太,ソフトバンク,2022,投手,52,12,52,13
又吉 克樹,ソフトバンク,2022,投手,56,18,52,9
和田 毅,ソフトバンク,2022,投手,147,37,145,27
コール,ヤクルト,2022,投手,62,14,61,11
サイスニード,ヤクルト,2022,投手,248,69,260,71
スアレス,ヤクルト,2022,投手,47,13,44,14
マクガフ,ヤクルト,2022,投手,105,19,93,20
奥川 恭伸,ヤクルト,2022,投手,8,0,6,2
吉田 大喜,ヤクルト,2022,投手,13,6,26,8
久保 拓眞,ヤクルト,2022,投手,57,8,33,11
宮台 康平,ヤクルト,2022,投手,3,1,8,3
金久保 優斗,ヤクルト,2022,投手,24,8,17,5
