選手名,球団,年度,ポジション,対被左打数,対左被安打,対被右打数,対右被安打
原 樹理,ヤクルト,2022,投手,202,71,228,61
高橋 奎二,ヤクルト,2022,投手,163,34,204,41
高梨 裕稔,ヤクルト,2022,投手,201,53,186,50
今野 龍太,ヤクルト,2022,投手,91,29,86,16
山下 輝,ヤクルト,2022,投手,23,10,24,4
山本 大貴,ヤクルト,2022,投手,14,7,12,3
市川 悠太,ヤクルト,2022,投手,30,9,19,8
柴田 大地,ヤクルト,2022,投手,4,3,5,2
小川 泰弘,ヤクルト,2022,投手,304,78,267,67
小澤 怜史,ヤクルト,2022,投手,91,25,80,23
杉山 晃基,ヤクルト,2022,投手,1,1,3,1
星 知弥,ヤクルト,2022,投手,24,8,25,6
清水 昇,ヤクルト,2022,投手,76,12,77,11
石山 泰稚,ヤクルト,2022,投手,64,14,67,13
石川 雅規,ヤクルト,2022,投手,142,41,186,52
大下 佑馬,ヤクルト,2022,投手,32,9,27,7
大西 広樹,ヤクルト,2022,投手,114,42,125,32
竹山 日向,ヤクルト,2022,投手,3,0,,
田口 麗斗,ヤクルト,2022,投手,77,16,50,14
梅野 雄吾,ヤクルト,2022,投手,78,20,70,17
木澤 尚文,ヤクルト,2022,投手,115,32,139,25
オスナ,ロッテ,2022,投手,63,10,39,5
ゲレーロ,ロッテ,2022,投手,94,20,73,14
ロメロ,ロッテ,2022,投手,204,59,225,48
益田 直也,ロッテ,2022,投手,110,25,85,21
横山 陸人,ロッテ,2022,投手,3,1,1,1
河村 説人,ロッテ,2022,投手,47,14,22,4
岩下 大輝,ロッテ,2022,投手,34,6,18,0
国吉 佑樹,ロッテ,2022,投手,12,3,6,2
佐々木 千隼,ロッテ,2022,投手,55,19,50,16
佐々木 朗希,ロッテ,2022,投手,285,52,168,28
佐藤 奨真,ロッテ,2022,投手,87,23,105,25
坂本 光士郎,ロッテ,2022,投手,40,10,40,14
種市 篤暉,ロッテ,2022,投手,9,5,3,0
小沼 健太,ロッテ,2022,投手,57,19,43,11
小島 和哉,ロッテ,2022,投手,279,78,259,62
小野 郁,ロッテ,2022,投手,76,18,75,18
森 遼大朗,ロッテ,2022,投手,14,4,19,7
西野 勇士,ロッテ,2022,投手,80,17,52,11
石川 歩,ロッテ,2022,投手,243,72,217,56
中村 稔弥,ロッテ,2022,投手,32,9,21,8
田中 靖洋,ロッテ,2022,投手,38,16,24,9
土肥 星也,ロッテ,2022,投手,1,0,4,2
唐川 侑己,ロッテ,2022,投手,38,11,21,3
東妻 勇輔,ロッテ,2022,投手,10,3,8,6
東條 大樹,ロッテ,2022,投手,108,23,102,28
二木 康太,ロッテ,2022,投手,91,22,95,26
八木 彬,ロッテ,2022,投手,45,18,41,7
美馬 学,ロッテ,2022,投手,244,62,191,45
本前 郁也,ロッテ,2022,投手,114,36,105,25
鈴木 昭汰,ロッテ,2022,投手,39,15,16,7
廣畑 敦也,ロッテ,2022,投手,85,31,65,17
ブセニッツ,楽天,2022,投手,54,12,56,10
安樂 智大,楽天,2022,投手,97,26,93,25
釜田 佳直,楽天,2022,投手,12,6,12,4
岸 孝之,楽天,2022,投手,254,46,263,70
吉川 雄大,楽天,2022,投手,7,3,12,0
宮森 智志,楽天,2022,投手,37,6,37,6
弓削 隼人,楽天,2022,投手,19,4,33,10
高田 孝一,楽天,2022,投手,16,6,9,2
酒居 知史,楽天,2022,投手,56,12,61,11
小峯 新陸,楽天,2022,投手,12,7,13,2
松井 友飛,楽天,2022,投手,9,3,8,3
松井 裕樹,楽天,2022,投手,59,11,113,10
辛島 航,楽天,2022,投手,131,33,203,53
西垣 雅矢,楽天,2022,投手,41,11,42,9
西口 直人,楽天,2022,投手,94,16,103,23
石橋 良太,楽天,2022,投手,54,15,72,20
宋 家豪,楽天,2022,投手,94,19,95,26
早川 隆久,楽天,2022,投手,169,42,242,63
則本 昂大,楽天,2022,投手,220,60,259,67
瀧中 瞭太,楽天,2022,投手,168,46,139,48
津留﨑 大成,楽天,2022,投手,22,9,24,7
田中 将大,楽天,2022,投手,322,83,299,77
渡邊 佑樹,楽天,2022,投手,26,4,16,3
藤井 聖,楽天,2022,投手,29,8,42,8
藤平 尚真,楽天,2022,投手,34,6,45,9
内間 拓馬,楽天,2022,投手,1,0,3,1
福井 優也,楽天,2022,投手,18,6,25,8
福山 博之,楽天,2022,投手,5,1,6,2
涌井 秀章,楽天,2022,投手,124,37,84,13
鈴木 翔天,楽天,2022,投手,65,13,61,12
髙田 萌生,楽天,2022,投手,10,2,8,3
アンドリース,巨人,2022,投手,37,8,43,20
クロール,巨人,2022,投手,35,12,42,5
シューメーカー,巨人,2022,投手,191,53,167,39
デラロサ,巨人,2022,投手,43,9,49,9
ビエイラ,巨人,2022,投手,18,3,12,6
メルセデス,巨人,2022,投手,184,48,227,59
井上 温大,巨人,2022,投手,37,14,60,14
井納 翔一,巨人,2022,投手,12,2,8,3
横川 凱,巨人,2022,投手,5,3,10,4
菊地 大稀,巨人,2022,投手,35,5,30,11
鍬原 拓也,巨人,2022,投手,76,22,99,28
鍵谷 陽平,巨人,2022,投手,27,9,41,12
戸郷 翔征,巨人,2022,投手,351,80,274,66
戸根 千明,巨人,2022,投手,27,6,27,10
戸田 懐生,巨人,2022,投手,52,16,44,17
高木 京介,巨人,2022,投手,31,10,39,9
高梨 雄平,巨人,2022,投手,96,16,69,16
今村 信貴,巨人,2022,投手,104,28,91,17
桜井 俊貴,巨人,2022,投手,15,5,21,8
山口 俊,巨人,2022,投手,5,0,1,0
山本 一輝,巨人,2022,投手,6,2,3,0
山﨑 伊織,巨人,2022,投手,194,54,177,41
菅野 智之,巨人,2022,投手,275,73,273,65
赤星 優志,巨人,2022,投手,161,48,143,33
大江 竜聖,巨人,2022,投手,10,0,11,5
大勢,巨人,2022,投手,111,20,90,18
直江 大輔,巨人,2022,投手,34,7,33,5
畠 世周,巨人,2022,投手,49,9,53,13
平内 龍太,巨人,2022,投手,84,28,108,25
堀田 賢慎,巨人,2022,投手,54,13,76,25
髙橋 優貴,巨人,2022,投手,55,21,51,13
アンダーソン,広島,2022,投手,148,41,110,20
ケムナ 誠,広島,2022,投手,73,19,70,18
コルニエル,広島,2022,投手,31,7,28,8
ターリー,広島,2022,投手,76,12,55,14
フランスア,広島,2022,投手,5,1,6,1
一岡 竜司,広島,2022,投手,21,6,19,9
遠藤 淳志,広島,2022,投手,230,64,176,40
菊池 保則,広島,2022,投手,15,4,18,6
玉村 昇悟,広島,2022,投手,55,13,118,33
九里 亜蓮,広島,2022,投手,275,77,261,69
栗林 良吏,広島,2022,投手,101,11,64,11
黒原 拓未,広島,2022,投手,20,6,19,5
小林 樹斗,広島,2022,投手,1,2,2,0
床田 寛樹,広島,2022,投手,173,38,231,49
松本 竜也,広島,2022,投手,97,23,120,35
森 翔平,広島,2022,投手,37,10,37,12
森浦 大輔,広島,2022,投手,77,23,95,24
森下 暢仁,広島,2022,投手,366,108,329,87
大瀬良 大地,広島,2022,投手,281,76,265,80
大道 温貴,広島,2022,投手,25,7,23,9
中﨑 翔太,広島,2022,投手,53,16,39,11
島内 颯太郎,広島,2022,投手,33,10,43,11
藤井 黎來,広島,2022,投手,29,6,20,4
野村 祐輔,広島,2022,投手,88,23,83,32
矢崎 拓也,広島,2022,投手,88,15,89,20
薮田 和樹,広島,2022,投手,55,16,31,3
塹江 敦哉,広島,2022,投手,38,5,21,8
アルカンタラ,阪神,2022,投手,62,17,81,21
ウィルカーソン,阪神,2022,投手,135,33,128,37
ガンケル,阪神,2022,投手,165,37,178,43
ケラー,阪神,2022,投手,54,13,65,12
伊藤 将司,阪神,2022,投手,211,54,293,65
加治屋 蓮,阪神,2022,投手,32,10,80,16
岩崎 優,阪神,2022,投手,95,28,124,35
岩貞 祐太,阪神,2022,投手,90,20,66,14
及川 雅貴,阪神,2022,投手,,,4,1
桐敷 拓馬,阪神,2022,投手,25,8,35,12
才木 浩人,阪神,2022,投手,86,18,87,22
秋山 拓巳,阪神,2022,投手,36,10,55,19
小川 一平,阪神,2022,投手,37,7,48,9
小野 泰己,阪神,2022,投手,9,3,13,4
小林 慶祐,阪神,2022,投手,23,7,18,5
森木 大智,阪神,2022,投手,17,4,16,5
西 純矢,阪神,2022,投手,143,30,142,37
西 勇輝,阪神,2022,投手,273,63,292,69
青柳 晃洋,阪神,2022,投手,395,95,190,31
石井 大智,阪神,2022,投手,50,7,32,4
渡邉 雄大,阪神,2022,投手,41,8,23,8
島本 浩也,阪神,2022,投手,35,8,17,4
湯浅 京己,阪神,2022,投手,99,21,106,17
藤浪 晋太郎,阪神,2022,投手,125,37,117,21
馬場 皐輔,阪神,2022,投手,17,4,15,8
尾仲 祐哉,阪神,2022,投手,2,1,8,3
浜地 真澄,阪神,2022,投手,71,16,98,22
齋藤 友貴哉,阪神,2022,投手,39,11,54,12
エンス,西武,2022,投手,190,55,254,48
スミス,西武,2022,投手,80,21,59,9
ボー・タカハシ,西武,2022,投手,51,7,51,12
宮川 哲,西武,2022,投手,86,21,94,25
隅田 知一郎,西武,2022,投手,138,37,178,53
公文 克彦,西武,2022,投手,23,4,6,1
今井 達也,西武,2022,投手,103,20,100,17
佐々木 健,西武,2022,投手,75,18,34,11
佐藤 隼輔,西武,2022,投手,90,27,89,20
佐野 泰雄,西武,2022,投手,4,0,2,0
十亀 剣,西武,2022,投手,34,7,23,8
松本 航,西武,2022,投手,277,66,199,40
森脇 亮介,西武,2022,投手,70,18,62,12
水上 由伸,西武,2022,投手,101,21,84,13
増田 達至,西武,2022,投手,105,27,79,10
大曲 錬,西武,2022,投手,12,3,7,2
田村 伊知郎,西武,2022,投手,8,2,4,1
渡邉 勇太朗,西武,2022,投手,33,11,19,4
内海 哲也,西武,2022,投手,18,6,29,6
平井 克典,西武,2022,投手,172,41,132,36
平良 海馬,西武,2022,投手,130,20,72,16
本田 圭佑,西武,2022,投手,104,26,73,11
與座 海人,西武,2022,投手,284,73,153,31
髙橋 光成,西武,2022,投手,368,91,267,62
R.マルティネス,中日,2022,投手,104,13,87,17
タバーレス,中日,2022,投手,7,3,4,1
マルク,中日,2022,投手,6,2,6,3
ロドリゲス,中日,2022,投手,111,20,83,12
岡田 俊哉,中日,2022,投手,5,2,19,7
岡野 祐一郎,中日,2022,投手,25,12,28,8
笠原 祥太郎,中日,2022,投手,17,3,46,15
岩嵜 翔,中日,2022,投手,,0,,
橋本 侑樹,中日,2022,投手,13,7,16,5
根尾 昂,中日,2022,投手,48,9,56,14
佐藤 優,中日,2022,投手,12,4,6,3
山本 拓実,中日,2022,投手,55,9,56,15
勝野 昌慶,中日,2022,投手,91,24,74,22
小笠原 慎之介,中日,2022,投手,191,49,342,78
松葉 貴大,中日,2022,投手,158,41,217,55
上田 洸太朗,中日,2022,投手,53,10,92,24
森 博人,中日,2022,投手,56,15,57,14
清水 達也,中日,2022,投手,84,13,88,15
祖父江 大輔,中日,2022,投手,79,25,82,17
大野 雄大,中日,2022,投手,262,72,306,54
谷元 圭介,中日,2022,投手,62,20,56,10
田島 慎二,中日,2022,投手,39,9,46,13
藤嶋 健人,中日,2022,投手,87,16,97,23
福 敬登,中日,2022,投手,61,12,41,13
福谷 浩司,中日,2022,投手,64,22,43,20
柳 裕也,中日,2022,投手,322,82,269,72
鈴木 博志,中日,2022,投手,24,6,23,5
髙橋 宏斗,中日,2022,投手,203,41,207,38
ポンセ,日本ハム,2022,投手,179,39,134,30
メネズ,日本ハム,2022,投手,35,6,47,8
ロドリゲス,日本ハム,2022,投手,26,8,35,6
伊藤 大海,日本ハム,2022,投手,327,84,258,56
井口 和朋,日本ハム,2022,投手,56,22,47,12
加藤 貴之,日本ハム,2022,投手,267,60,282,64
河野 竜生,日本ハム,2022,投手,67,17,66,19
柿木 蓮,日本ハム,2022,投手,7,0,6,2
吉田 輝星,日本ハム,2022,投手,129,28,97,25
宮西 尚生,日本ハム,2022,投手,50,14,27,6
玉井 大翔,日本ハム,2022,投手,71,20,70,17
金子 千尋,日本ハム,2022,投手,33,8,20,7
古川 侑利,日本ハム,2022,投手,68,17,65,20
根本 悠楓,日本ハム,2022,投手,114,26,108,26
松浦 慶斗,日本ハム,2022,投手,3,2,1,0
上原 健太,日本ハム,2022,投手,129,40,139,33
上沢 直之,日本ハム,2022,投手,308,74,253,55
杉浦 稔大,日本ハム,2022,投手,99,30,69,15
生田目 翼,日本ハム,2022,投手,14,3,20,4
西村 天裕,日本ハム,2022,投手,43,9,38,13
石川 直也,日本ハム,2022,投手,62,13,55,13
達 孝太,日本ハム,2022,投手,7,1,2,0
谷川 昌希,日本ハム,2022,投手,19,6,19,4
池田 隆英,日本ハム,2022,投手,37,11,26,4
長谷川 威展,日本ハム,2022,投手,4,1,4,1
田中 瑛斗,日本ハム,2022,投手,45,15,27,7
畔柳 亨丞,日本ハム,2022,投手,4,1,,
福田 俊,日本ハム,2022,投手,28,6,10,1
望月 大希,日本ハム,2022,投手,26,11,14,4
北浦 竜次,日本ハム,2022,投手,16,5,16,5
北山 亘基,日本ハム,2022,投手,96,18,87,19
堀 瑞輝,日本ハム,2022,投手,59,15,80,26
立野 和明,日本ハム,2022,投手,33,11,12,5
鈴木 健矢,日本ハム,2022,投手,61,18,79,15
ウェンデルケン,DeNA,2023,投手,105,22,102,18
エスコバー,DeNA,2023,投手,63,14,51,14
ガゼルマン,DeNA,2023,投手,125,38,122,34
バウアー,DeNA,2023,投手,282,66,208,53
伊勢 大夢,DeNA,2023,投手,93,24,99,30
笠原 祥太郎,DeNA,2023,投手,9,5,17,5
宮城 滝太,DeNA,2023,投手,26,6,35,8
宮國 椋丞,DeNA,2023,投手,12,4,8,3
今永 昇太,DeNA,2023,投手,237,58,317,74
坂本 裕哉,DeNA,2023,投手,39,10,54,17
三浦 銀二,DeNA,2023,投手,3,2,4,2
三嶋 一輝,DeNA,2023,投手,41,16,54,17
山﨑 康晃,DeNA,2023,投手,104,28,75,20
上茶谷 大河,DeNA,2023,投手,100,25,131,28
森原 康平,DeNA,2023,投手,78,22,75,12
石川 達也,DeNA,2023,投手,53,12,56,7
石田 健大,DeNA,2023,投手,198,54,250,73
大貫 晋一,DeNA,2023,投手,136,29,138,28
中川 虎大,DeNA,2023,投手,15,4,23,5
田中 健二朗,DeNA,2023,投手,21,8,21,4
東 克樹,DeNA,2023,投手,287,67,356,82
入江 大生,DeNA,2023,投手,59,17,52,12
平良 拳太郎,DeNA,2023,投手,120,24,108,34
濵口 遥大,DeNA,2023,投手,105,32,158,39
コットン,オリックス,2023,投手,42,11,36,13
ニックス,オリックス,2023,投手,7,1,17,6
ワゲスパック,オリックス,2023,投手,98,23,74,21
阿部 翔太,オリックス,2023,投手,90,16,82,21
宇田川 優希,オリックス,2023,投手,84,15,73,7
横山 楓,オリックス,2023,投手,8,3,6,1
吉田 凌,オリックス,2023,投手,27,6,38,10
宮城 大弥,オリックス,2023,投手,218,45,310,62
近藤 大亮,オリックス,2023,投手,27,7,19,5
黒木 優太,オリックス,2023,投手,60,16,42,17
山岡 泰輔,オリックス,2023,投手,164,34,181,41
山下 舜平大,オリックス,2023,投手,180,37,165,34
山田 修義,オリックス,2023,投手,73,15,36,8
山本 由伸,オリックス,2023,投手,337,62,254,55
山﨑 福也,オリックス,2023,投手,188,38,307,89
山﨑 颯一郎,オリックス,2023,投手,96,22,89,20
漆原 大晟,オリックス,2023,投手,49,12,31,11
小木田 敦也,オリックス,2023,投手,80,18,94,19
小野 泰己,オリックス,2023,投手,16,4,7,2
前 佑囲斗,オリックス,2023,投手,2,0,5,1
曽谷 龍平,オリックス,2023,投手,60,20,58,13
村西 良太,オリックス,2023,投手,25,6,21,5
竹安 大知,オリックス,2023,投手,14,8,8,4
田嶋 大樹,オリックス,2023,投手,153,38,156,35
東 晃平,オリックス,2023,投手,105,29,88,16
比嘉 幹貴,オリックス,2023,投手,18,1,60,20
平野 佳寿,オリックス,2023,投手,85,21,61,15
本田 仁海,オリックス,2023,投手,70,20,59,16
齋藤 響介,オリックス,2023,投手,5,0,8,2
オスナ,ソフトバンク,2023,投手,85,19,77,9
ガンケル,ソフトバンク,2023,投手,28,6,41,15
スチュワート・ジュニア,ソフトバンク,2023,投手,144,36,145,34
ヘルナンデス,ソフトバンク,2023,投手,1,2,3,1
モイネロ,ソフトバンク,2023,投手,36,4,54,7
嘉弥真 新也,ソフトバンク,2023,投手,31,10,13,6
笠谷 俊介,ソフトバンク,2023,投手,16,3,20,5
古川 侑利,ソフトバンク,2023,投手,22,6,18,6
甲斐野 央,ソフトバンク,2023,投手,77,15,74,18
高橋 礼,ソフトバンク,2023,投手,25,11,29,12
松本 晴,ソフトバンク,2023,投手,12,6,15,2
松本 裕樹,ソフトバンク,2023,投手,75,20,92,12
森 唯斗,ソフトバンク,2023,投手,60,9,52,19
石川 柊太,ソフトバンク,2023,投手,224,52,245,56
泉 圭輔,ソフトバンク,2023,投手,7,2,5,2
大関 友久,ソフトバンク,2023,投手,148,37,222,49
大津 亮介,ソフトバンク,2023,投手,61,15,85,19
津森 宥紀,ソフトバンク,2023,投手,60,16,111,21
椎野 新,ソフトバンク,2023,投手,28,10,33,7
田浦 文丸,ソフトバンク,2023,投手,69,15,58,16
東浜 巨,ソフトバンク,2023,投手,147,47,247,67
藤井 皓哉,ソフトバンク,2023,投手,111,21,129,25
板東 湧梧,ソフトバンク,2023,投手,140,31,168,42
尾形 崇斗,ソフトバンク,2023,投手,37,9,30,9
武田 翔太,ソフトバンク,2023,投手,87,22,85,23
又吉 克樹,ソフトバンク,2023,投手,38,7,60,14
有原 航平,ソフトバンク,2023,投手,201,46,249,59
和田 毅,ソフトバンク,2023,投手,170,43,197,46
エスピナル,ヤクルト,2023,投手,8,0,7,1
サイスニード,ヤクルト,2023,投手,283,72,233,61
ピーターズ,ヤクルト,2023,投手,164,41,222,58
ロドリゲス,ヤクルト,2023,投手,65,16,62,17
丸山 翔大,ヤクルト,2023,投手,52,11,47,9
吉村 貢司郎,ヤクルト,2023,投手,126,39,110,27
久保 拓眞,ヤクルト,2023,投手,9,4,8,4
金久保 優斗,ヤクルト,2023,投手,8,0,2,0
高橋 奎二,ヤクルト,2023,投手,184,42,203,62
高梨 裕稔,ヤクルト,2023,投手,82,25,74,17
今野 龍太,ヤクルト,2023,投手,77,20,41,11
阪口 皓亮,ヤクルト,2023,投手,31,11,35,8
山本 大貴,ヤクルト,2023,投手,88,21,39,11
山野 太一,ヤクルト,2023,投手,42,12,52,13
市川 悠太,ヤクルト,2023,投手,31,9,24,5
小川 泰弘,ヤクルト,2023,投手,258,66,275,58
小澤 怜史,ヤクルト,2023,投手,211,46,157,37
成田 翔,ヤクルト,2023,投手,7,3,7,1
星 知弥,ヤクルト,2023,投手,75,17,64,17
清水 昇,ヤクルト,2023,投手,126,27,80,23
石山 泰稚,ヤクルト,2023,投手,89,27,96,24
石川 雅規,ヤクルト,2023,投手,100,24,157,51
大西 広樹,ヤクルト,2023,投手,99,28,106,25
長谷川 宙輝,ヤクルト,2023,投手,5,1,4,2
田口 麗斗,ヤクルト,2023,投手,64,17,110,22
梅野 雄吾,ヤクルト,2023,投手,18,8,12,1
尾仲 祐哉,ヤクルト,2023,投手,33,9,26,12
木澤 尚文,ヤクルト,2023,投手,93,25,95,17
カスティーヨ,ロッテ,2023,投手,95,24,96,28
ペルドモ,ロッテ,2023,投手,100,30,89,19
メルセデス,ロッテ,2023,投手,158,37,272,74
益田 直也,ロッテ,2023,投手,121,30,84,19
横山 陸人,ロッテ,2023,投手,76,17,74,24
岩下 大輝,ロッテ,2023,投手,58,12,55,13
菊地 吏玖,ロッテ,2023,投手,11,3,7,4
高野 脩汰,ロッテ,2023,投手,17,4,23,5
国吉 佑樹,ロッテ,2023,投手,5,0,5,1
佐々木 千隼,ロッテ,2023,投手,10,4,4,2
佐々木 朗希,ロッテ,2023,投手,184,25,134,26
坂本 光士郎,ロッテ,2023,投手,98,19,82,27
種市 篤暉,ロッテ,2023,投手,284,74,227,50
小島 和哉,ロッテ,2023,投手,253,65,333,78
小野 郁,ロッテ,2023,投手,16,2,20,7
森 遼大朗,ロッテ,2023,投手,68,20,71,21
西村 天裕,ロッテ,2023,投手,82,16,72,12
西野 勇士,ロッテ,2023,投手,211,54,216,55
中森 俊介,ロッテ,2023,投手,42,9,30,8
中村 稔弥,ロッテ,2023,投手,44,9,43,13
唐川 侑己,ロッテ,2023,投手,18,7,17,8
東妻 勇輔,ロッテ,2023,投手,64,18,58,11
東條 大樹,ロッテ,2023,投手,16,8,21,4
八木 彬,ロッテ,2023,投手,7,5,10,4
美馬 学,ロッテ,2023,投手,178,46,208,60
本前 郁也,ロッテ,2023,投手,10,1,8,3
鈴木 昭汰,ロッテ,2023,投手,32,7,27,5
廣畑 敦也,ロッテ,2023,投手,26,11,15,3
澤村 拓一,ロッテ,2023,投手,65,19,57,14
澤田 圭佑,ロッテ,2023,投手,23,4,33,7
バニュエロス,楽天,2023,投手,1,2,1,2
安樂 智大,楽天,2023,投手,87,23,91,25
伊藤 茉央,楽天,2023,投手,32,9,43,9
塩見 貴洋,楽天,2023,投手,4,1,12,3
岸 孝之,楽天,2023,投手,261,63,213,60
宮森 智志,楽天,2023,投手,38,13,50,17
弓削 隼人,楽天,2023,投手,16,5,21,7
高田 孝一,楽天,2023,投手,19,6,22,8
酒居 知史,楽天,2023,投手,71,20,82,16
小孫 竜二,楽天,2023,投手,7,2,8,2
松井 友飛,楽天,2023,投手,30,6,39,9
松井 裕樹,楽天,2023,投手,77,16,124,22
辛島 航,楽天,2023,投手,88,25,116,32
西垣 雅矢,楽天,2023,投手,,0,1,1
西口 直人,楽天,2023,投手,53,17,46,15
石橋 良太,楽天,2023,投手,9,4,7,4
宋 家豪,楽天,2023,投手,78,20,95,21
早川 隆久,楽天,2023,投手,154,45,224,57
荘司 康誠,楽天,2023,投手,199,46,200,44
則本 昂大,楽天,2023,投手,281,66,286,68
瀧中 瞭太,楽天,2023,投手,76,20,90,25
津留﨑 大成,楽天,2023,投手,17,4,20,7
田中 将大,楽天,2023,投手,274,74,265,82
渡辺 翔太,楽天,2023,投手,80,17,91,13
藤井 聖,楽天,2023,投手,66,10,60,18
藤平 尚真,楽天,2023,投手,91,25,110,25
内 星龍,楽天,2023,投手,92,17,107,21
鈴木 翔天,楽天,2023,投手,102,22,55,15
グリフィン,巨人,2023,投手,193,38,251,63
バルドナード,巨人,2023,投手,42,10,32,5
ビーディ,巨人,2023,投手,90,27,99,24
メンデス,巨人,2023,投手,127,21,172,36
ロペス,巨人,2023,投手,12,3,12,3
井上 温大,巨人,2023,投手,24,6,30,15
横川 凱,巨人,2023,投手,132,34,180,45
