選手名,球団,年度,ポジション,対被左打数,対左被安打,対被右打数,対右被安打
菊地 大稀,巨人,2023,投手,65,13,106,27
鍬原 拓也,巨人,2023,投手,8,3,11,4
鍵谷 陽平,巨人,2023,投手,18,3,23,7
戸郷 翔征,巨人,2023,投手,313,84,314,57
高木 京介,巨人,2023,投手,1,0,5,1
高梨 雄平,巨人,2023,投手,100,22,56,10
今村 信貴,巨人,2023,投手,58,19,42,10
三上 朋也,巨人,2023,投手,14,5,46,13
山﨑 伊織,巨人,2023,投手,271,64,268,55
小沼 健太,巨人,2023,投手,14,5,15,4
松井 颯,巨人,2023,投手,33,6,44,12
菅野 智之,巨人,2023,投手,147,29,144,41
赤星 優志,巨人,2023,投手,117,26,142,44
船迫 大雅,巨人,2023,投手,43,9,61,12
代木 大和,巨人,2023,投手,35,14,32,9
大江 竜聖,巨人,2023,投手,60,10,14,5
大勢,巨人,2023,投手,66,16,35,10
中川 皓太,巨人,2023,投手,83,18,77,19
直江 大輔,巨人,2023,投手,23,5,24,2
田中 千晴,巨人,2023,投手,58,12,66,18
田中 豊樹,巨人,2023,投手,12,4,26,4
平内 龍太,巨人,2023,投手,24,7,28,7
堀岡 隼人,巨人,2023,投手,8,2,8,4
堀田 賢慎,巨人,2023,投手,8,1,4,1
鈴木 康平,巨人,2023,投手,41,11,63,13
髙橋 優貴,巨人,2023,投手,24,6,31,12
アドゥワ 誠,広島,2023,投手,31,6,33,9
アンダーソン,広島,2023,投手,80,16,76,14
ケムナ 誠,広島,2023,投手,44,9,53,15
コルニエル,広島,2023,投手,71,23,94,23
ターリー,広島,2023,投手,69,20,79,19
一岡 竜司,広島,2023,投手,1,0,,
益田 武尚,広島,2023,投手,22,5,17,3
遠藤 淳志,広島,2023,投手,75,20,75,16
河野 佳,広島,2023,投手,20,6,34,13
玉村 昇悟,広島,2023,投手,69,19,115,33
九里 亜蓮,広島,2023,投手,316,74,299,68
栗林 良吏,広島,2023,投手,92,20,92,22
戸根 千明,広島,2023,投手,41,13,43,9
黒原 拓未,広島,2023,投手,23,10,33,11
床田 寛樹,広島,2023,投手,225,52,364,92
松本 竜也,広島,2023,投手,21,7,21,6
森 翔平,広島,2023,投手,80,22,126,36
森浦 大輔,広島,2023,投手,21,6,18,5
森下 暢仁,広島,2023,投手,282,70,216,57
大瀬良 大地,広島,2023,投手,245,62,244,55
大道 温貴,広島,2023,投手,84,20,101,24
中村 祐太,広島,2023,投手,17,4,12,5
中﨑 翔太,広島,2023,投手,63,14,56,11
島内 颯太郎,広島,2023,投手,113,29,99,21
野村 祐輔,広島,2023,投手,78,21,44,9
矢崎 拓也,広島,2023,投手,110,26,78,22
薮田 和樹,広島,2023,投手,5,2,12,3
塹江 敦哉,広島,2023,投手,16,6,14,4
ケラー,阪神,2023,投手,41,6,58,16
ビーズリー,阪神,2023,投手,87,18,65,17
ブルワー,阪神,2023,投手,20,3,24,3
伊藤 将司,阪神,2023,投手,199,44,333,76
岡留 英貴,阪神,2023,投手,13,3,10,2
加治屋 蓮,阪神,2023,投手,54,16,91,18
岩崎 優,阪神,2023,投手,75,12,121,20
岩貞 祐太,阪神,2023,投手,78,23,81,13
及川 雅貴,阪神,2023,投手,74,12,54,16
桐敷 拓馬,阪神,2023,投手,79,15,65,13
才木 浩人,阪神,2023,投手,203,38,221,50
秋山 拓巳,阪神,2023,投手,22,9,22,7
小林 慶祐,阪神,2023,投手,3,1,1,0
西 純矢,阪神,2023,投手,148,41,133,38
西 勇輝,阪神,2023,投手,218,45,195,61
青柳 晃洋,阪神,2023,投手,258,73,124,29
石井 大智,阪神,2023,投手,54,12,97,31
村上 頌樹,阪神,2023,投手,270,53,238,39
大竹 耕太郎,阪神,2023,投手,217,62,274,60
島本 浩也,阪神,2023,投手,57,9,35,10
湯浅 京己,阪神,2023,投手,25,8,34,7
馬場 皐輔,阪神,2023,投手,44,8,35,9
浜地 真澄,阪神,2023,投手,48,17,64,15
富田 蓮,阪神,2023,投手,24,5,36,9
門別 啓人,阪神,2023,投手,18,10,17,3
エンス,西武,2023,投手,74,21,122,32
クリスキー,西武,2023,投手,27,5,20,1
ティノコ,西武,2023,投手,70,21,64,12
ボー・タカハシ,西武,2023,投手,53,11,67,9
宮川 哲,西武,2023,投手,31,8,36,15
隅田 知一郎,西武,2023,投手,220,61,281,62
公文 克彦,西武,2023,投手,14,6,5,1
今井 達也,西武,2023,投手,268,50,186,37
佐々木 健,西武,2023,投手,44,10,26,4
佐藤 隼輔,西武,2023,投手,84,23,64,12
松本 航,西武,2023,投手,233,54,199,48
森脇 亮介,西武,2023,投手,61,12,39,10
水上 由伸,西武,2023,投手,20,3,37,9
青山 美夏人,西武,2023,投手,95,16,64,16
増田 達至,西武,2023,投手,97,25,60,19
大曲 錬,西武,2023,投手,18,4,23,10
張 奕,西武,2023,投手,11,5,12,5
田村 伊知郎,西武,2023,投手,42,5,41,9
渡邉 勇太朗,西武,2023,投手,15,3,22,4
豆田 泰志,西武,2023,投手,26,6,27,2
平井 克典,西武,2023,投手,110,31,81,15
平良 海馬,西武,2023,投手,286,65,254,50
本田 圭佑,西武,2023,投手,72,19,57,15
與座 海人,西武,2023,投手,178,40,125,32
髙橋 光成,西武,2023,投手,313,80,244,43
フェリス,中日,2023,投手,20,3,30,6
マルティネス,中日,2023,投手,101,19,65,12
メヒア,中日,2023,投手,74,18,80,13
岡野 祐一郎,中日,2023,投手,50,12,34,10
橋本 侑樹,中日,2023,投手,27,3,22,6
近藤 廉,中日,2023,投手,1,2,9,6
根尾 昂,中日,2023,投手,30,9,13,0
砂田 毅樹,中日,2023,投手,37,9,15,3
勝野 昌慶,中日,2023,投手,71,8,100,25
小笠原 慎之介,中日,2023,投手,242,53,362,100
松山 晋也,中日,2023,投手,65,9,57,14
松葉 貴大,中日,2023,投手,82,24,129,31
上田 洸太朗,中日,2023,投手,39,13,40,9
清水 達也,中日,2023,投手,84,17,79,17
祖父江 大輔,中日,2023,投手,79,24,80,15
大野 雄大,中日,2023,投手,9,2,16,1
谷元 圭介,中日,2023,投手,10,4,9,1
仲地 礼亜,中日,2023,投手,95,27,70,14
田島 慎二,中日,2023,投手,52,12,51,12
藤嶋 健人,中日,2023,投手,96,17,83,17
梅津 晃大,中日,2023,投手,25,5,37,4
福 敬登,中日,2023,投手,47,8,14,4
福谷 浩司,中日,2023,投手,122,37,100,35
福島 章太,中日,2023,投手,7,3,9,5
柳 裕也,中日,2023,投手,304,72,266,54
涌井 秀章,中日,2023,投手,235,66,196,50
鈴木 博志,中日,2023,投手,36,11,54,12
齋藤 綱記,中日,2023,投手,61,14,41,9
髙橋 宏斗,中日,2023,投手,296,77,247,52
ポンセ,日本ハム,2023,投手,105,28,100,31
マーベル,日本ハム,2023,投手,36,10,46,11
メネズ,日本ハム,2023,投手,51,16,42,8
ロドリゲス,日本ハム,2023,投手,68,24,70,18
伊藤 大海,日本ハム,2023,投手,316,96,262,51
井口 和朋,日本ハム,2023,投手,7,1,11,5
加藤 貴之,日本ハム,2023,投手,269,72,350,90
河野 竜生,日本ハム,2023,投手,91,15,57,15
吉田 輝星,日本ハム,2023,投手,4,2,7,3
宮西 尚生,日本ハム,2023,投手,56,15,37,14
宮内 春輝,日本ハム,2023,投手,34,12,35,11
玉井 大翔,日本ハム,2023,投手,71,27,79,16
金村 尚真,日本ハム,2023,投手,51,13,41,5
根本 悠楓,日本ハム,2023,投手,40,5,48,7
山本 拓実,日本ハム,2023,投手,69,24,72,16
上原 健太,日本ハム,2023,投手,148,44,238,57
上沢 直之,日本ハム,2023,投手,361,91,277,61
杉浦 稔大,日本ハム,2023,投手,39,10,44,12
生田目 翼,日本ハム,2023,投手,16,4,12,1
石川 直也,日本ハム,2023,投手,24,7,36,10
池田 隆英,日本ハム,2023,投手,99,19,80,14
長谷川 威展,日本ハム,2023,投手,14,6,15,2
田中 瑛斗,日本ハム,2023,投手,21,3,11,5
田中 正義,日本ハム,2023,投手,86,19,85,24
福田 俊,日本ハム,2023,投手,54,5,32,6
北浦 竜次,日本ハム,2023,投手,23,6,22,6
北山 亘基,日本ハム,2023,投手,128,28,102,21
堀 瑞輝,日本ハム,2023,投手,12,6,7,3
矢澤 宏太,日本ハム,2023,投手,3,1,4,0
立野 和明,日本ハム,2023,投手,17,4,11,6
鈴木 健矢,日本ハム,2023,投手,154,46,90,13
ウィック,DeNA,2024,投手,92,22,78,14
ウェンデルケン,DeNA,2024,投手,54,10,43,10
ケイ,DeNA,2024,投手,199,52,310,78
ジャクソン,DeNA,2024,投手,292,58,230,51
ディアス,DeNA,2024,投手,8,1,6,1
伊勢 大夢,DeNA,2024,投手,74,20,46,8
吉野 光樹,DeNA,2024,投手,75,23,49,11
宮城 滝太,DeNA,2024,投手,7,3,2,0
京山 将弥,DeNA,2024,投手,35,8,45,10
佐々木 千隼,DeNA,2024,投手,78,17,59,13
坂本 裕哉,DeNA,2024,投手,96,30,76,13
三嶋 一輝,DeNA,2024,投手,13,4,13,2
山﨑 康晃,DeNA,2024,投手,80,18,62,17
小園 健太,DeNA,2024,投手,9,4,6,3
松本 隆之介,DeNA,2024,投手,4,1,14,5
松本 凌人,DeNA,2024,投手,20,8,20,2
森 唯斗,DeNA,2024,投手,86,24,58,26
森原 康平,DeNA,2024,投手,119,31,108,23
石田 健大,DeNA,2024,投手,45,11,72,17
石田 裕太郎,DeNA,2024,投手,125,41,113,35
大貫 晋一,DeNA,2024,投手,184,43,150,35
中川 虎大,DeNA,2024,投手,63,14,55,15
中川 颯,DeNA,2024,投手,116,36,108,29
東 克樹,DeNA,2024,投手,292,80,390,86
徳山 壮磨,DeNA,2024,投手,52,9,52,18
浜地 真澄,DeNA,2024,投手,37,6,43,11
平良 拳太郎,DeNA,2024,投手,62,19,41,5
堀岡 隼人,DeNA,2024,投手,9,0,13,5
エスピノーザ,オリックス,2024,投手,253,63,231,59
カスティーヨ,オリックス,2024,投手,193,43,159,32
マチャド,オリックス,2024,投手,91,12,98,24
阿部 翔太,オリックス,2024,投手,28,8,23,4
井口 和朋,オリックス,2024,投手,43,15,71,14
宇田川 優希,オリックス,2024,投手,17,2,19,2
吉田 輝星,オリックス,2024,投手,67,18,82,22
宮城 大弥,オリックス,2024,投手,205,40,320,75
九里 亜蓮,オリックス,2024,投手,233,54,254,61
古田島 成龍,オリックス,2024,投手,75,14,83,16
佐藤 一磨,オリックス,2024,投手,21,9,22,4
才木 海翔,オリックス,2024,投手,43,15,47,13
山岡 泰輔,オリックス,2024,投手,11,1,10,4
山下 舜平大,オリックス,2024,投手,119,31,102,18
山田 修義,オリックス,2024,投手,106,22,47,8
山﨑 颯一郎,オリックス,2024,投手,11,4,14,3
小木田 敦也,オリックス,2024,投手,22,4,21,5
川瀬 堅斗,オリックス,2024,投手,22,6,18,5
前 佑囲斗,オリックス,2024,投手,8,3,12,5
曽谷 龍平,オリックス,2024,投手,188,47,258,65
村西 良太,オリックス,2024,投手,3,1,1,0
田嶋 大樹,オリックス,2024,投手,207,52,242,69
東 晃平,オリックス,2024,投手,106,23,103,24
博志,オリックス,2024,投手,78,22,70,18
比嘉 幹貴,オリックス,2024,投手,4,0,7,1
富山 凌雅,オリックス,2024,投手,28,6,13,4
平野 佳寿,オリックス,2024,投手,31,11,20,8
本田 圭佑,オリックス,2024,投手,68,22,52,14
本田 仁海,オリックス,2024,投手,38,12,47,9
椋木 蓮,オリックス,2024,投手,30,10,23,8
齋藤 響介,オリックス,2024,投手,76,15,57,14
髙島 泰都,オリックス,2024,投手,117,31,86,19
オスナ,ソフトバンク,2024,投手,68,16,72,20
スチュワート・ジュニア,ソフトバンク,2024,投手,213,34,207,45
ヘルナンデス,ソフトバンク,2024,投手,72,11,99,23
モイネロ,ソフトバンク,2024,投手,224,43,348,64
岩井 俊介,ソフトバンク,2024,投手,22,4,28,6
松本 晴,ソフトバンク,2024,投手,25,5,32,7
松本 裕樹,ソフトバンク,2024,投手,90,22,82,15
上茶谷 大河,ソフトバンク,2024,投手,48,17,48,15
杉山 一樹,ソフトバンク,2024,投手,90,11,79,17
前田 純,ソフトバンク,2024,投手,8,1,12,2
前田 悠伍,ソフトバンク,2024,投手,10,4,6,4
村田 賢一,ソフトバンク,2024,投手,3,1,2,1
大関 友久,ソフトバンク,2024,投手,176,39,255,45
大山 凌,ソフトバンク,2024,投手,47,12,49,7
大津 亮介,ソフトバンク,2024,投手,216,48,224,53
長谷川 威展,ソフトバンク,2024,投手,61,13,36,7
津森 宥紀,ソフトバンク,2024,投手,72,14,83,17
田浦 文丸,ソフトバンク,2024,投手,7,2,8,2
東浜 巨,ソフトバンク,2024,投手,100,21,117,32
藤井 皓哉,ソフトバンク,2024,投手,78,19,65,9
尾形 崇斗,ソフトバンク,2024,投手,19,4,24,4
又吉 克樹,ソフトバンク,2024,投手,71,14,75,23
木村 光,ソフトバンク,2024,投手,12,2,10,3
有原 航平,ソフトバンク,2024,投手,330,75,332,67
和田 毅,ソフトバンク,2024,投手,41,12,56,15
澤柳 亮太郎,ソフトバンク,2024,投手,16,4,18,3
濵口 遥大,ソフトバンク,2024,投手,101,28,88,19
エスパーダ,ヤクルト,2024,投手,57,18,41,9
サイスニード,ヤクルト,2024,投手,245,76,243,72
ロドリゲス,ヤクルト,2024,投手,78,22,89,18
奥川 恭伸,ヤクルト,2024,投手,62,17,59,12
嘉弥真 新也,ヤクルト,2024,投手,15,8,7,4
丸山 翔大,ヤクルト,2024,投手,56,12,55,11
吉村 貢司郎,ヤクルト,2024,投手,304,88,224,56
宮川 哲,ヤクルト,2024,投手,14,6,5,3
金久保 優斗,ヤクルト,2024,投手,11,2,17,3
原 樹理,ヤクルト,2024,投手,17,4,18,2
高橋 奎二,ヤクルト,2024,投手,194,51,256,65
高梨 裕稔,ヤクルト,2024,投手,75,24,73,20
阪口 皓亮,ヤクルト,2024,投手,22,8,12,3
山本 大貴,ヤクルト,2024,投手,69,12,37,6
山野 太一,ヤクルト,2024,投手,91,24,108,35
小川 泰弘,ヤクルト,2024,投手,132,40,120,35
小澤 怜史,ヤクルト,2024,投手,151,37,125,27
松本 健吾,ヤクルト,2024,投手,28,5,30,12
星 知弥,ヤクルト,2024,投手,77,18,67,19
清水 昇,ヤクルト,2024,投手,42,15,33,9
石原 勇輝,ヤクルト,2024,投手,3,1,1,0
石山 泰稚,ヤクルト,2024,投手,80,25,85,28
石川 雅規,ヤクルト,2024,投手,70,25,80,20
大西 広樹,ヤクルト,2024,投手,76,21,138,32
長谷川 宙輝,ヤクルト,2024,投手,37,8,42,13
田口 麗斗,ヤクルト,2024,投手,71,18,53,16
尾仲 祐哉,ヤクルト,2024,投手,5,1,3,2
木澤 尚文,ヤクルト,2024,投手,78,22,119,28
矢崎 拓也,ヤクルト,2024,投手,46,10,41,12
カイケル,ロッテ,2024,投手,56,13,89,24
コルデロ,ロッテ,2024,投手,11,5,9,3
ダイクストラ,ロッテ,2024,投手,15,4,25,6
メルセデス,ロッテ,2024,投手,190,36,259,61
益田 直也,ロッテ,2024,投手,88,15,63,12
横山 陸人,ロッテ,2024,投手,79,11,70,16
岩下 大輝,ロッテ,2024,投手,37,9,36,4
菊地 吏玖,ロッテ,2024,投手,40,9,46,12
吉田 凌,ロッテ,2024,投手,25,7,20,4
高野 脩汰,ロッテ,2024,投手,29,10,28,6
国吉 佑樹,ロッテ,2024,投手,75,18,70,13
佐々木 朗希,ロッテ,2024,投手,224,49,182,34
坂本 光士郎,ロッテ,2024,投手,66,23,58,11
種市 篤暉,ロッテ,2024,投手,289,73,258,55
小島 和哉,ロッテ,2024,投手,246,69,371,88
小野 郁,ロッテ,2024,投手,8,2,4,2
西村 天裕,ロッテ,2024,投手,39,12,29,6
西野 勇士,ロッテ,2024,投手,261,70,203,50
石川 柊太,ロッテ,2024,投手,127,33,100,18
石川 歩,ロッテ,2024,投手,55,12,41,18
大谷 輝龍,ロッテ,2024,投手,3,1,1,0
中森 俊介,ロッテ,2024,投手,50,11,42,12
中村 稔弥,ロッテ,2024,投手,65,16,63,14
中村 亮太,ロッテ,2024,投手,3,0,1,3
田中 晴也,ロッテ,2024,投手,34,5,37,9
唐川 侑己,ロッテ,2024,投手,80,15,58,13
東妻 勇輔,ロッテ,2024,投手,18,8,14,5
二保 旭,ロッテ,2024,投手,29,12,19,8
八木 彬,ロッテ,2024,投手,23,5,21,6
美馬 学,ロッテ,2024,投手,35,12,25,5
鈴木 昭汰,ロッテ,2024,投手,91,19,79,13
廣畑 敦也,ロッテ,2024,投手,27,7,20,6
澤村 拓一,ロッテ,2024,投手,49,13,72,11
澤田 圭佑,ロッテ,2024,投手,45,14,32,8
ターリー,楽天,2024,投手,25,8,33,7
ポンセ,楽天,2024,投手,144,45,133,47
ヤフーレ,楽天,2024,投手,245,73,244,57
加治屋 蓮,楽天,2024,投手,21,4,22,7
岸 孝之,楽天,2024,投手,287,70,265,74
吉川 雄大,楽天,2024,投手,48,22,40,10
宮森 智志,楽天,2024,投手,13,3,18,2
弓削 隼人,楽天,2024,投手,74,23,63,19
古謝 樹,楽天,2024,投手,127,31,176,39
高田 孝一,楽天,2024,投手,22,6,19,7
今野 龍太,楽天,2024,投手,11,2,12,5
坂井 陽翔,楽天,2024,投手,3,1,,0
柴田 大地,楽天,2024,投手,2,0,3,1
酒居 知史,楽天,2024,投手,80,18,80,17
小孫 竜二,楽天,2024,投手,1,0,2,1
松井 友飛,楽天,2024,投手,51,18,42,12
松田 啄磨,楽天,2024,投手,24,6,27,8
西垣 雅矢,楽天,2024,投手,45,12,37,16
宋 家豪,楽天,2024,投手,66,16,81,25
早川 隆久,楽天,2024,投手,247,58,397,98
荘司 康誠,楽天,2024,投手,72,21,41,11
則本 昂大,楽天,2024,投手,102,28,101,29
瀧中 瞭太,楽天,2024,投手,143,45,121,29
津留﨑 大成,楽天,2024,投手,58,22,41,14
渡辺 翔太,楽天,2024,投手,80,22,92,20
藤井 聖,楽天,2024,投手,198,59,287,79
藤平 尚真,楽天,2024,投手,79,14,82,15
内 星龍,楽天,2024,投手,236,70,192,43
日當 直喜,楽天,2024,投手,3,1,,0
鈴木 翔天,楽天,2024,投手,77,11,84,13
櫻井 周斗,楽天,2024,投手,24,8,16,3
グリフィン,巨人,2024,投手,180,39,254,60
ケラー,巨人,2024,投手,74,13,89,11
バルドナード,巨人,2024,投手,93,22,95,18
マルティネス,巨人,2024,投手,111,19,87,16
メンデス,巨人,2024,投手,11,2,9,4
伊藤 優輔,巨人,2024,投手,15,4,12,1
井上 温大,巨人,2024,投手,152,41,224,46
横川 凱,巨人,2024,投手,53,10,46,13
京本 眞,巨人,2024,投手,7,2,9,2
戸郷 翔征,巨人,2024,投手,348,81,290,48
高橋 礼,巨人,2024,投手,104,27,70,15
高梨 雄平,巨人,2024,投手,87,17,39,9
今村 信貴,巨人,2024,投手,17,3,11,3
山﨑 伊織,巨人,2024,投手,273,72,269,68
松井 颯,巨人,2024,投手,3,1,2,1
菅野 智之,巨人,2024,投手,314,72,263,60
西舘 勇陽,巨人,2024,投手,52,13,54,9
石川 達也,巨人,2024,投手,29,9,23,6
赤星 優志,巨人,2024,投手,136,31,135,35
泉 圭輔,巨人,2024,投手,69,15,63,13
船迫 大雅,巨人,2024,投手,47,14,89,14
大江 竜聖,巨人,2024,投手,31,7,14,2
大勢,巨人,2024,投手,88,16,63,12
中川 皓太,巨人,2024,投手,30,9,24,10
田中 瑛斗,巨人,2024,投手,10,3,7,3
田中 将大,巨人,2024,投手,11,3,8,3
田中 千晴,巨人,2024,投手,8,1,6,1
馬場 皐輔,巨人,2024,投手,1,1,2,0
平内 龍太,巨人,2024,投手,58,17,69,18
堀田 賢慎,巨人,2024,投手,88,23,95,20
又木 鉄平,巨人,2024,投手,13,3,25,8
アドゥワ 誠,広島,2024,投手,208,55,196,47
ケムナ 誠,広島,2024,投手,8,3,11,3
コルニエル,広島,2024,投手,26,4,36,11
ハーン,広島,2024,投手,58,11,58,7
ハッチ,広島,2024,投手,42,15,49,13
益田 武尚,広島,2024,投手,13,4,23,8
遠藤 淳志,広島,2024,投手,5,2,9,3
河野 佳,広島,2024,投手,31,8,36,12
玉村 昇悟,広島,2024,投手,118,32,175,45
栗林 良吏,広島,2024,投手,99,16,92,17
高橋 昂也,広島,2024,投手,2,0,1,0
黒原 拓未,広島,2024,投手,101,22,115,18
床田 寛樹,広島,2024,投手,283,83,336,87
松本 竜也,広島,2024,投手,19,3,25,6
常廣 羽也斗,広島,2024,投手,17,6,27,9
森 翔平,広島,2024,投手,47,12,52,13
森浦 大輔,広島,2024,投手,60,17,108,23
森下 暢仁,広島,2024,投手,283,62,282,75
大瀬良 大地,広島,2024,投手,312,63,251,55
大道 温貴,広島,2024,投手,10,4,12,5
滝田 一希,広島,2024,投手,6,0,8,2
中﨑 翔太,広島,2024,投手,43,10,46,14
長谷部 銀次,広島,2024,投手,9,0,11,1
島内 颯太郎,広島,2024,投手,103,20,94,23
野村 祐輔,広島,2024,投手,23,6,20,5
鈴木 健矢,広島,2024,投手,42,10,36,7
塹江 敦哉,広島,2024,投手,94,26,50,13
髙 太一,広島,2024,投手,2,0,5,1
ゲラ,阪神,2024,投手,101,26,102,21
ビーズリー,阪神,2024,投手,155,40,116,13
伊藤 将司,阪神,2024,投手,157,50,139,40
岡留 英貴,阪神,2024,投手,60,15,86,21
岩崎 優,阪神,2024,投手,105,21,106,27
岩貞 祐太,阪神,2024,投手,4,1,1,0
及川 雅貴,阪神,2024,投手,52,16,56,9
桐敷 拓馬,阪神,2024,投手,129,28,104,20
佐藤 蓮,阪神,2024,投手,1,0,2,0
才木 浩人,阪神,2024,投手,316,71,305,69
漆原 大晟,阪神,2024,投手,57,15,72,23
西 純矢,阪神,2024,投手,7,0,15,5
西 勇輝,阪神,2024,投手,243,58,230,55
青柳 晃洋,阪神,2024,投手,136,43,95,23
石井 大智,阪神,2024,投手,52,13,118,21
石黒 佑弥,阪神,2024,投手,8,4,7,2
川原 陸,阪神,2024,投手,2,0,2,1
村上 頌樹,阪神,2024,投手,315,72,266,71
大竹 耕太郎,阪神,2024,投手,226,59,310,75
島本 浩也,阪神,2024,投手,54,13,42,14
畠 世周,阪神,2024,投手,4,0,6,1
富田 蓮,阪神,2024,投手,74,17,56,9
門別 啓人,阪神,2024,投手,22,7,28,8
髙橋 遥人,阪神,2024,投手,45,9,61,11
アブレイユ,西武,2024,投手,94,21,80,17
ボー・タカハシ,西武,2024,投手,168,47,98,23
ヤン,西武,2024,投手,74,23,42,9
羽田 慎之介,西武,2024,投手,30,8,26,6
隅田 知一郎,西武,2024,投手,342,94,323,67
