選手名,球団,年度,ポジション,対被左打数,対左被安打,対被右打数,対右被安打
甲斐野 央,西武,2024,投手,34,9,33,6
黒木 優太,西武,2024,投手,4,1,2,0
今井 達也,西武,2024,投手,370,89,245,43
佐藤 隼輔,西武,2024,投手,76,11,49,9
糸川 亮太,西武,2024,投手,7,4,6,1
松本 航,西武,2024,投手,122,29,123,25
上田 大河,西武,2024,投手,46,9,38,8
水上 由伸,西武,2024,投手,55,20,54,14
杉山 遙希,西武,2024,投手,9,2,6,3
菅井 信也,西武,2024,投手,47,13,48,13
青山 美夏人,西武,2024,投手,79,21,43,9
増田 達至,西武,2024,投手,22,11,20,4
中村 祐太,西武,2024,投手,58,9,58,17
田村 伊知郎,西武,2024,投手,56,11,52,13
渡邉 勇太朗,西武,2024,投手,168,45,155,36
豆田 泰志,西武,2024,投手,29,9,34,13
浜屋 将太,西武,2024,投手,4,1,6,2
武内 夏暉,西武,2024,投手,242,54,289,66
平井 克典,西武,2024,投手,18,7,24,7
平良 海馬,西武,2024,投手,82,25,94,19
與座 海人,西武,2024,投手,58,14,34,8
髙橋 光成,西武,2024,投手,176,54,143,40
フェリス,中日,2024,投手,28,5,35,10
メヒア,中日,2024,投手,171,44,114,29
伊藤 茉央,中日,2024,投手,11,4,11,3
岩嵜 翔,中日,2024,投手,40,13,39,11
橋本 侑樹,中日,2024,投手,110,24,82,22
根尾 昂,中日,2024,投手,19,8,13,2
三浦 瑞樹,中日,2024,投手,8,2,9,2
勝野 昌慶,中日,2024,投手,73,23,80,21
小笠原 慎之介,中日,2024,投手,247,68,312,83
松山 晋也,中日,2024,投手,109,22,81,16
松木平 優太,中日,2024,投手,98,20,82,26
松葉 貴大,中日,2024,投手,154,34,189,51
清水 達也,中日,2024,投手,103,16,99,25
祖父江 大輔,中日,2024,投手,46,11,61,15
大野 雄大,中日,2024,投手,78,23,91,27
仲地 礼亜,中日,2024,投手,2,0,1,0
田島 慎二,中日,2024,投手,4,3,1,1
土生 翔太,中日,2024,投手,28,8,20,5
藤嶋 健人,中日,2024,投手,80,8,86,21
梅津 晃大,中日,2024,投手,156,38,128,38
梅野 雄吾,中日,2024,投手,42,10,43,16
福 敬登,中日,2024,投手,21,2,13,2
柳 裕也,中日,2024,投手,134,39,127,36
涌井 秀章,中日,2024,投手,162,38,153,41
齋藤 綱記,中日,2024,投手,109,28,65,17
髙橋 宏斗,中日,2024,投手,306,72,210,35
ザバラ,日本ハム,2024,投手,24,3,27,4
バーヘイゲン,日本ハム,2024,投手,100,24,83,20
マーフィー,日本ハム,2024,投手,69,16,67,15
ロドリゲス,日本ハム,2024,投手,13,4,20,5
伊藤 大海,日本ハム,2024,投手,361,91,293,59
加藤 貴之,日本ハム,2024,投手,249,72,392,101
河野 竜生,日本ハム,2024,投手,90,16,65,17
宮西 尚生,日本ハム,2024,投手,55,13,35,5
金村 尚真,日本ハム,2024,投手,274,70,222,46
鍵谷 陽平,日本ハム,2024,投手,2,0,,
根本 悠楓,日本ハム,2024,投手,10,4,9,3
細野 晴希,日本ハム,2024,投手,17,4,17,4
山本 拓実,日本ハム,2024,投手,71,15,73,20
山﨑 福也,日本ハム,2024,投手,249,67,302,75
松浦 慶斗,日本ハム,2024,投手,5,2,11,2
上原 健太,日本ハム,2024,投手,48,20,60,20
杉浦 稔大,日本ハム,2024,投手,55,10,65,14
清宮 虎多朗,日本ハム,2024,投手,5,2,7,2
生田目 翼,日本ハム,2024,投手,77,25,79,23
達 孝太,日本ハム,2024,投手,12,2,6,1
池田 隆英,日本ハム,2024,投手,37,7,43,7
田中 正義,日本ハム,2024,投手,99,16,76,17
畔柳 亨丞,日本ハム,2024,投手,12,2,8,1
福谷 浩司,日本ハム,2024,投手,58,16,53,14
福田 俊,日本ハム,2024,投手,5,1,2,0
福島 蓮,日本ハム,2024,投手,121,30,104,21
北浦 竜次,日本ハム,2024,投手,25,7,20,8
北山 亘基,日本ハム,2024,投手,155,32,125,20
堀 瑞輝,日本ハム,2024,投手,19,4,15,8
矢澤 宏太,日本ハム,2024,投手,24,5,22,6
柳川 大晟,日本ハム,2024,投手,44,8,31,3
齋藤 友貴哉,日本ハム,2024,投手,53,11,49,12
ウィック,DeNA,2025,投手,68,17,75,8
ケイ,DeNA,2025,投手,295,61,258,50
ジャクソン,DeNA,2025,投手,316,82,241,52
マルセリーノ,DeNA,2025,投手,2,1,3,0
伊勢 大夢,DeNA,2025,投手,100,29,93,17
岩田 将貴,DeNA,2025,投手,5,2,,0
吉野 光樹,DeNA,2025,投手,14,3,16,5
宮城 滝太,DeNA,2025,投手,95,18,85,21
橋本 達弥,DeNA,2025,投手,4,2,2,1
佐々木 千隼,DeNA,2025,投手,41,13,38,7
坂本 裕哉,DeNA,2025,投手,57,18,82,16
三嶋 一輝,DeNA,2025,投手,10,4,20,9
山﨑 康晃,DeNA,2025,投手,37,7,20,7
篠木 健太郎,DeNA,2025,投手,9,3,12,3
若松 尚輝,DeNA,2025,投手,20,11,13,3
小園 健太,DeNA,2025,投手,10,2,7,1
松本 凌人,DeNA,2025,投手,7,3,8,2
森 唯斗,DeNA,2025,投手,12,3,9,2
森原 康平,DeNA,2025,投手,55,9,45,11
石田 裕太郎,DeNA,2025,投手,178,38,160,35
大貫 晋一,DeNA,2025,投手,143,38,111,29
竹田 祐,DeNA,2025,投手,59,10,64,12
中川 虎大,DeNA,2025,投手,47,7,49,17
東 克樹,DeNA,2025,投手,202,36,403,106
入江 大生,DeNA,2025,投手,83,18,78,14
浜地 真澄,DeNA,2025,投手,10,2,1,0
武田 陸玖,DeNA,2025,投手,2,0,1,2
平良 拳太郎,DeNA,2025,投手,96,28,116,26
堀岡 隼人,DeNA,2025,投手,26,10,24,7
颯,DeNA,2025,投手,38,10,56,16
エスピノーザ,オリックス,2025,投手,271,67,235,64
マチャド,オリックス,2025,投手,95,24,114,26
阿部 翔太,オリックス,2025,投手,23,5,32,9
井口 和朋,オリックス,2025,投手,11,5,9,3
横山 楓,オリックス,2025,投手,25,7,32,5
岩嵜 翔,オリックス,2025,投手,72,13,72,22
宮城 大弥,オリックス,2025,投手,213,48,359,87
九里 亜蓮,オリックス,2025,投手,337,95,277,60
権田 琉成,オリックス,2025,投手,25,9,22,7
古田島 成龍,オリックス,2025,投手,34,9,39,12
佐藤 一磨,オリックス,2025,投手,34,13,25,9
才木 海翔,オリックス,2025,投手,59,11,57,9
山岡 泰輔,オリックス,2025,投手,72,24,75,18
山下 舜平大,オリックス,2025,投手,45,10,31,4
山口 廉王,オリックス,2025,投手,1,0,2,0
山田 修義,オリックス,2025,投手,60,15,31,10
山﨑 颯一郎,オリックス,2025,投手,46,15,55,9
寺西 成騎,オリックス,2025,投手,84,25,62,21
川瀬 堅斗,オリックス,2025,投手,57,17,63,15
曽谷 龍平,オリックス,2025,投手,199,59,248,66
田嶋 大樹,オリックス,2025,投手,201,50,210,56
東 晃平,オリックス,2025,投手,54,16,39,5
東松 快征,オリックス,2025,投手,24,7,22,10
入山 海斗,オリックス,2025,投手,27,3,23,6
博志,オリックス,2025,投手,32,9,20,7
富山 凌雅,オリックス,2025,投手,7,3,10,3
平野 佳寿,オリックス,2025,投手,5,3,6,2
片山 楽生,オリックス,2025,投手,54,14,61,16
本田 圭佑,オリックス,2025,投手,32,14,21,4
椋木 蓮,オリックス,2025,投手,58,22,49,14
髙島 泰都,オリックス,2025,投手,122,36,116,31
オスナ,ソフトバンク,2025,投手,53,12,40,11
ヘルナンデス,ソフトバンク,2025,投手,75,18,73,16
モイネロ,ソフトバンク,2025,投手,215,41,368,71
伊藤 優輔,ソフトバンク,2025,投手,8,1,16,3
岩井 俊介,ソフトバンク,2025,投手,19,9,18,2
岩崎 峻典,ソフトバンク,2025,投手,1,1,6,3
宮﨑 颯,ソフトバンク,2025,投手,2,0,6,3
松本 晴,ソフトバンク,2025,投手,139,37,215,57
松本 裕樹,ソフトバンク,2025,投手,76,16,94,12
上茶谷 大河,ソフトバンク,2025,投手,23,4,31,11
杉山 一樹,ソフトバンク,2025,投手,104,21,128,27
川口 冬弥,ソフトバンク,2025,投手,10,2,10,1
前田 純,ソフトバンク,2025,投手,80,16,108,28
前田 悠伍,ソフトバンク,2025,投手,20,5,25,9
大関 友久,ソフトバンク,2025,投手,202,38,338,69
大江 竜聖,ソフトバンク,2025,投手,28,4,29,4
大山 凌,ソフトバンク,2025,投手,59,19,61,11
大津 亮介,ソフトバンク,2025,投手,97,20,147,43
大野 稼頭央,ソフトバンク,2025,投手,2,1,13,3
津森 宥紀,ソフトバンク,2025,投手,49,16,41,11
東浜 巨,ソフトバンク,2025,投手,56,13,67,17
藤井 皓哉,ソフトバンク,2025,投手,85,16,89,16
尾形 崇斗,ソフトバンク,2025,投手,65,16,74,20
木村 光,ソフトバンク,2025,投手,31,3,27,6
有原 航平,ソフトバンク,2025,投手,377,104,279,63
アビラ,ヤクルト,2025,投手,163,37,137,33
バウマン,ヤクルト,2025,投手,29,6,32,11
ランバート,ヤクルト,2025,投手,224,60,214,63
奥川 恭伸,ヤクルト,2025,投手,205,67,207,60
下川 隼佑,ヤクルト,2025,投手,39,8,59,11
丸山 翔大,ヤクルト,2025,投手,21,7,18,4
吉村 貢司郎,ヤクルト,2025,投手,249,75,257,57
金久保 優斗,ヤクルト,2025,投手,25,8,36,15
高橋 奎二,ヤクルト,2025,投手,82,19,74,15
高梨 裕稔,ヤクルト,2025,投手,176,43,189,52
坂本 拓己,ヤクルト,2025,投手,2,0,2,1
阪口 皓亮,ヤクルト,2025,投手,48,17,43,10
山本 大貴,ヤクルト,2025,投手,32,9,32,10
山野 太一,ヤクルト,2025,投手,112,28,194,56
小川 泰弘,ヤクルト,2025,投手,147,46,165,43
小澤 怜史,ヤクルト,2025,投手,61,15,40,12
松本 健吾,ヤクルト,2025,投手,56,14,58,15
沼田 翔平,ヤクルト,2025,投手,6,4,2,1
星 知弥,ヤクルト,2025,投手,78,18,76,20
清水 昇,ヤクルト,2025,投手,78,28,78,23
青柳 晃洋,ヤクルト,2025,投手,36,13,13,1
石原 勇輝,ヤクルト,2025,投手,7,4,12,4
石山 泰稚,ヤクルト,2025,投手,78,11,58,11
石川 雅規,ヤクルト,2025,投手,59,21,55,21
荘司 宏太,ヤクルト,2025,投手,80,11,55,8
大西 広樹,ヤクルト,2025,投手,76,19,94,22
中村 優斗,ヤクルト,2025,投手,39,17,31,8
長谷川 宙輝,ヤクルト,2025,投手,11,4,9,2
田口 麗斗,ヤクルト,2025,投手,70,10,35,11
木澤 尚文,ヤクルト,2025,投手,68,20,81,20
矢崎 拓也,ヤクルト,2025,投手,69,13,74,13
サモンズ,ロッテ,2025,投手,128,28,195,47
ボス,ロッテ,2025,投手,272,79,214,50
一條 力真,ロッテ,2025,投手,2,0,2,1
益田 直也,ロッテ,2025,投手,46,12,32,7
横山 陸人,ロッテ,2025,投手,97,19,103,18
河村 説人,ロッテ,2025,投手,34,5,46,12
菊地 吏玖,ロッテ,2025,投手,40,12,54,12
吉川 悠斗,ロッテ,2025,投手,10,2,22,3
高野 脩汰,ロッテ,2025,投手,86,17,108,26
坂井 遼,ロッテ,2025,投手,2,0,1,0
坂本 光士郎,ロッテ,2025,投手,14,3,8,3
種市 篤暉,ロッテ,2025,投手,297,64,298,70
小島 和哉,ロッテ,2025,投手,206,48,345,96
小野 郁,ロッテ,2025,投手,83,16,77,24
西村 天裕,ロッテ,2025,投手,2,1,1,3
西野 勇士,ロッテ,2025,投手,82,23,107,26
石川 柊太,ロッテ,2025,投手,202,53,200,57
早坂 響,ロッテ,2025,投手,29,6,13,6
中森 俊介,ロッテ,2025,投手,50,13,53,6
中村 稔弥,ロッテ,2025,投手,32,10,42,9
田中 晴也,ロッテ,2025,投手,132,30,149,33
唐川 侑己,ロッテ,2025,投手,17,4,19,6
東妻 勇輔,ロッテ,2025,投手,10,4,14,6
二木 康太,ロッテ,2025,投手,2,0,3,2
八木 彬,ロッテ,2025,投手,56,19,50,13
美馬 学,ロッテ,2025,投手,,,1,0
木村 優人,ロッテ,2025,投手,122,29,132,28
鈴木 昭汰,ロッテ,2025,投手,50,15,56,17
廣池 康志郎,ロッテ,2025,投手,40,12,39,9
廣畑 敦也,ロッテ,2025,投手,16,3,15,5
澤村 拓一,ロッテ,2025,投手,28,11,38,5
澤田 圭佑,ロッテ,2025,投手,49,13,54,12
ハワード,楽天,2025,投手,75,13,106,29
ヤフーレ,楽天,2025,投手,137,42,117,38
加治屋 蓮,楽天,2025,投手,69,23,94,18
岸 孝之,楽天,2025,投手,227,66,209,59
宮森 智志,楽天,2025,投手,19,9,31,9
古謝 樹,楽天,2025,投手,163,44,255,74
江原 雅裕,楽天,2025,投手,49,14,69,21
今野 龍太,楽天,2025,投手,77,15,75,18
坂井 陽翔,楽天,2025,投手,9,2,10,2
柴田 大地,楽天,2025,投手,12,2,17,6
小孫 竜二,楽天,2025,投手,2,1,4,1
松井 友飛,楽天,2025,投手,47,11,60,20
松田 啄磨,楽天,2025,投手,,0,2,0
辛島 航,楽天,2025,投手,8,1,23,14
西垣 雅矢,楽天,2025,投手,87,22,123,17
西口 直人,楽天,2025,投手,82,13,94,16
宋 家豪,楽天,2025,投手,20,7,15,3
早川 隆久,楽天,2025,投手,96,26,168,41
荘司 康誠,楽天,2025,投手,121,21,160,44
則本 昂大,楽天,2025,投手,112,31,98,29
泰 勝利,楽天,2025,投手,17,5,8,2
大内 誠弥,楽天,2025,投手,16,3,14,2
瀧中 瞭太,楽天,2025,投手,164,46,169,37
中込 陽翔,楽天,2025,投手,13,2,13,4
津留﨑 大成,楽天,2025,投手,53,16,58,14
渡辺 翔太,楽天,2025,投手,47,17,54,12
藤井 聖,楽天,2025,投手,181,45,242,76
藤平 尚真,楽天,2025,投手,112,19,103,26
内 星龍,楽天,2025,投手,169,54,150,29
日當 直喜,楽天,2025,投手,1,0,2,0
林 優樹,楽天,2025,投手,2,0,2,0
鈴木 翔天,楽天,2025,投手,86,15,70,18
グリフィン,巨人,2025,投手,116,24,153,32
ケラー,巨人,2025,投手,77,14,84,13
バルドナード,巨人,2025,投手,24,6,20,2
マルティネス,巨人,2025,投手,111,13,84,19
井上 温大,巨人,2025,投手,186,53,235,62
横川 凱,巨人,2025,投手,104,23,138,40
菊地 大稀,巨人,2025,投手,14,0,22,7
宮原 駿介,巨人,2025,投手,22,3,32,9
戸郷 翔征,巨人,2025,投手,197,62,236,62
戸田 懐生,巨人,2025,投手,6,2,5,1
高梨 雄平,巨人,2025,投手,31,9,23,5
山田 龍聖,巨人,2025,投手,7,1,6,2
山﨑 伊織,巨人,2025,投手,308,66,264,58
森田 駿哉,巨人,2025,投手,36,8,104,27
西舘 勇陽,巨人,2025,投手,102,26,107,32
石川 達也,巨人,2025,投手,100,24,113,29
赤星 優志,巨人,2025,投手,237,53,218,57
泉 圭輔,巨人,2025,投手,23,11,28,3
船迫 大雅,巨人,2025,投手,59,12,107,22
大勢,巨人,2025,投手,123,26,97,21
中川 皓太,巨人,2025,投手,110,26,92,29
田中 瑛斗,巨人,2025,投手,52,15,125,28
田中 将大,巨人,2025,投手,88,31,94,22
馬場 皐輔,巨人,2025,投手,16,5,11,1
平内 龍太,巨人,2025,投手,26,7,34,11
堀田 賢慎,巨人,2025,投手,46,10,39,13
又木 鉄平,巨人,2025,投手,20,6,33,10
アドゥワ 誠,広島,2025,投手,35,13,42,13
ドミンゲス,広島,2025,投手,51,11,41,7
ハーン,広島,2025,投手,84,19,116,35
益田 武尚,広島,2025,投手,12,4,7,2
遠藤 淳志,広島,2025,投手,26,9,33,10
岡本 駿,広島,2025,投手,74,19,83,25
菊地 ハルン,広島,2025,投手,7,1,7,1
玉村 昇悟,広島,2025,投手,158,41,187,51
栗林 良吏,広島,2025,投手,91,16,95,19
高橋 昂也,広島,2025,投手,53,16,73,15
佐藤 柳之介,広島,2025,投手,40,8,53,14
床田 寛樹,広島,2025,投手,284,66,352,92
松本 竜也,広島,2025,投手,9,1,7,3
常廣 羽也斗,広島,2025,投手,53,20,62,17
森 翔平,広島,2025,投手,225,63,281,66
森浦 大輔,広島,2025,投手,79,21,117,23
森下 暢仁,広島,2025,投手,290,72,275,68
斉藤 優汰,広島,2025,投手,12,5,11,2
大瀬良 大地,広島,2025,投手,268,66,252,65
大道 温貴,広島,2025,投手,2,0,1,0
滝田 一希,広島,2025,投手,9,0,18,3
中﨑 翔太,広島,2025,投手,71,15,79,21
長谷部 銀次,広島,2025,投手,10,3,15,6
辻 大雅,広島,2025,投手,29,8,30,4
島内 颯太郎,広島,2025,投手,89,14,108,16
鈴木 健矢,広島,2025,投手,55,14,67,13
塹江 敦哉,広島,2025,投手,46,15,40,11
髙 太一,広島,2025,投手,65,17,95,17
ゲラ,阪神,2025,投手,9,5,14,5
デュプランティエ,阪神,2025,投手,173,31,142,22
ドリス,阪神,2025,投手,32,7,35,7
ネルソン,阪神,2025,投手,54,15,63,14
ハートウィグ,阪神,2025,投手,11,5,34,4
ビーズリー,阪神,2025,投手,55,21,56,14
伊原 陵人,阪神,2025,投手,170,34,241,61
伊藤 将司,阪神,2025,投手,137,32,189,46
茨木 秀俊,阪神,2025,投手,4,0,5,1
岡留 英貴,阪神,2025,投手,11,3,23,4
岩崎 優,阪神,2025,投手,83,18,108,31
岩貞 祐太,阪神,2025,投手,56,14,60,16
及川 雅貴,阪神,2025,投手,90,11,119,23
桐敷 拓馬,阪神,2025,投手,72,21,82,24
工藤 泰成,阪神,2025,投手,22,5,36,7
才木 浩人,阪神,2025,投手,282,63,294,60
漆原 大晟,阪神,2025,投手,16,3,20,2
西 勇輝,阪神,2025,投手,16,6,4,1
石井 大智,阪神,2025,投手,92,17,96,20
石黒 佑弥,阪神,2025,投手,15,6,15,3
早川 太貴,阪神,2025,投手,17,5,22,3
村上 頌樹,阪神,2025,投手,310,72,322,59
大竹 耕太郎,阪神,2025,投手,147,33,219,54
椎葉 剛,阪神,2025,投手,6,1,5,1
島本 浩也,阪神,2025,投手,24,4,26,8
湯浅 京己,阪神,2025,投手,55,13,66,13
畠 世周,阪神,2025,投手,17,4,23,4
富田 蓮,阪神,2025,投手,48,16,41,10
木下 里都,阪神,2025,投手,27,8,28,10
門別 啓人,阪神,2025,投手,72,22,102,33
髙橋 遥人,阪神,2025,投手,56,11,105,27
E.ラミレス,西武,2025,投手,50,6,41,10
ウィンゲンター,西武,2025,投手,77,13,82,13
ボー・タカハシ,西武,2025,投手,15,6,9,6
羽田 慎之介,西武,2025,投手,45,10,34,10
隅田 知一郎,西武,2025,投手,239,57,362,85
甲斐野 央,西武,2025,投手,74,18,80,16
黒田 将矢,西武,2025,投手,27,7,25,9
黒木 優太,西武,2025,投手,53,16,52,8
今井 達也,西武,2025,投手,300,54,275,47
佐々木 健,西武,2025,投手,29,8,22,5
佐藤 隼輔,西武,2025,投手,45,14,35,10
山田 陽翔,西武,2025,投手,91,23,85,23
糸川 亮太,西武,2025,投手,32,4,31,7
篠原 響,西武,2025,投手,19,12,15,3
松本 航,西武,2025,投手,21,5,33,9
上田 大河,西武,2025,投手,34,10,48,20
水上 由伸,西武,2025,投手,13,3,7,4
杉山 遙希,西武,2025,投手,5,2,18,9
菅井 信也,西武,2025,投手,94,25,110,26
青山 美夏人,西武,2025,投手,5,1,4,2
中村 祐太,西武,2025,投手,41,11,51,10
田村 伊知郎,西武,2025,投手,47,13,56,13
渡邉 勇太朗,西武,2025,投手,257,71,259,56
豆田 泰志,西武,2025,投手,8,2,8,3
浜屋 将太,西武,2025,投手,33,6,17,7
武内 夏暉,西武,2025,投手,117,33,131,37
平良 海馬,西武,2025,投手,83,15,107,28
與座 海人,西武,2025,投手,209,52,132,22
髙橋 光成,西武,2025,投手,322,85,239,56
ウォルターズ,中日,2025,投手,7,2,10,1
マラー,中日,2025,投手,143,40,250,62
マルテ,中日,2025,投手,47,12,64,9
メヒア,中日,2025,投手,73,18,86,17
伊藤 茉央,中日,2025,投手,20,5,21,4
岡田 俊哉,中日,2025,投手,10,2,22,8
吉田 聖弥,中日,2025,投手,15,4,19,6
橋本 侑樹,中日,2025,投手,72,12,80,26
近藤 廉,中日,2025,投手,30,5,26,4
金丸 夢斗,中日,2025,投手,151,35,208,51
根尾 昂,中日,2025,投手,8,2,15,7
三浦 瑞樹,中日,2025,投手,65,22,66,16
勝野 昌慶,中日,2025,投手,39,12,62,15
松山 晋也,中日,2025,投手,101,21,87,19
松木平 優太,中日,2025,投手,3,2,6,0
松葉 貴大,中日,2025,投手,205,42,336,94
清水 達也,中日,2025,投手,89,29,104,20
祖父江 大輔,中日,2025,投手,27,11,46,18
草加 勝,中日,2025,投手,13,7,6,1
大野 雄大,中日,2025,投手,195,46,241,49
仲地 礼亜,中日,2025,投手,5,2,4,1
藤嶋 健人,中日,2025,投手,90,22,102,26
梅野 雄吾,中日,2025,投手,38,11,56,9
福 敬登,中日,2025,投手,37,9,21,3
福田 幸之介,中日,2025,投手,1,0,2,0
柳 裕也,中日,2025,投手,152,39,147,36
涌井 秀章,中日,2025,投手,115,30,117,33
齋藤 綱記,中日,2025,投手,68,14,43,8
髙橋 宏斗,中日,2025,投手,348,86,272,59
ザバラ,日本ハム,2025,投手,5,1,3,0
バーヘイゲン,日本ハム,2025,投手,43,7,61,21
伊藤 大海,日本ハム,2025,投手,423,106,323,73
加藤 貴之,日本ハム,2025,投手,200,51,260,74
河野 竜生,日本ハム,2025,投手,58,10,36,9
宮西 尚生,日本ハム,2025,投手,46,15,35,8
玉井 大翔,日本ハム,2025,投手,43,8,71,15
金村 尚真,日本ハム,2025,投手,172,43,190,51
古林 睿煬,日本ハム,2025,投手,70,16,54,14
細野 晴希,日本ハム,2025,投手,44,5,74,13
山本 拓実,日本ハム,2025,投手,38,12,58,11
山﨑 福也,日本ハム,2025,投手,177,43,245,62
柴田 獅子,日本ハム,2025,投手,25,7,20,4
松岡 洸希,日本ハム,2025,投手,7,2,13,6
上原 健太,日本ハム,2025,投手,57,10,29,5
杉浦 稔大,日本ハム,2025,投手,26,5,34,9
生田目 翼,日本ハム,2025,投手,50,14,47,6
孫 易磊,日本ハム,2025,投手,27,7,20,5
達 孝太,日本ハム,2025,投手,175,35,220,45
池田 隆英,日本ハム,2025,投手,34,9,48,12
田中 正義,日本ハム,2025,投手,90,17,87,20
畔柳 亨丞,日本ハム,2025,投手,8,1,13,4
福谷 浩司,日本ハム,2025,投手,20,5,38,11
福島 蓮,日本ハム,2025,投手,77,18,84,19
北山 亘基,日本ハム,2025,投手,274,55,265,57
堀 瑞輝,日本ハム,2025,投手,3,1,4,2
柳川 大晟,日本ハム,2025,投手,57,10,65,10
齋藤 友貴哉,日本ハム,2025,投手,75,18,86,13