チーム,"試
 
合","勝
 
利","敗
 
北","引
 
分","勝
 
率",差,"ホ
｜
ム","ロ
｜
ド","対
巨","対
神","対
デ","対
広","対
ヤ","対
中","交
流
戦","対
ソ","対
日","対
ロ","対
楽","対
オ","対
西"
"読 売
ジャイアンツ",143,77,59,7,0.566,--,"39-30
(3)","38-29
(4)",***,"12-12
(1)","16-8
(1)","13-9
(3)",13-12,"15-9
(1)","8-9
(1)",2-1,"2-0
(1)",2-1,0-3,0-3,2-1
"阪 神
タイガース",143,74,63,6,0.54,3.5,"43-27
(2)","31-36
(4)","12-12
(1)",***,"13-11
(1)","12-12
(1)",15-10,"15-7
(3)",7-11,1-2,1-2,1-2,0-3,1-2,3-0
"横浜DeNA
ベイスターズ",143,71,69,3,0.507,8,"34-37
(1)","37-32
(2)","8-16
(1)","11-13
(1)",***,11-14,15-10,"15-9
(1)",11-7,1-2,2-1,3-0,1-2,1-2,3-0
"広島東洋
カープ",143,68,70,5,0.493,10,"39-29
(3)","29-41
(2)","9-13
(3)","12-12
(1)",14-11,***,15-10,"8-16
(1)",10-8,0-3,2-1,2-1,2-1,2-1,2-1
"東京ヤクルト
スワローズ",143,62,77,4,0.446,16.5,"34-33
(4)",28-44,12-13,10-15,10-15,10-15,***,"11-12
(2)","9-7
(2)",1-2,2-1,"0-1
(2)",1-2,2-1,3-0
"中 日
ドラゴンズ",143,60,75,8,0.444,16.5,"35-32
(4)","25-43
(4)","9-15
(1)","7-15
(3)","9-15
(1)","16-8
(1)","12-11
(2)",***,7-11,1-2,1-2,1-2,1-2,2-1,1-2